Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHighP_1W,RSHighP_1M,RSHighP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
12-11-2025,NSE:BSL,EQ,200.7,199.01,23634,47.03402,6.63,6.45,5.83,,-2.11,-1.68,3.81,8.26,19.25,27.14,26.51,-1.15,-26.99,7.57,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,-1,-1,1.57,3.51,5.26,7.25,13.49,5.3,19.85,0,0,0,0,0,0,-2.11,-2.11,-2.11,-39.23,-39.23,-2.11,-18.03,-30.11,-55.34,-38.53,-3.88,40.15,56.21,56.21,56.21,23.28,13.17,13.81,2.96,25.19,57.17,17.16,21.29,20.27,-10,-31.84,1.060664,83,21.15,-3.04,-29.77,-33.52,,,17.16,5.94,-1.29,-40.41,-21.17,0.996044,58
12-11-2025,NSE:ARFIN,BE,927.64,57.58,519901,299.359,2.82,2.86,8.03,,-0.23,5.24,6.22,11.01,13.6,36.16,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,3.39,3.69,7.35,10.32,19.71,,,0,0,0,0,0,0,-0.23,-0.23,NA,NA,NA,-0.23,-0.22,NA,NA,NA,NA,75.23,NA,NA,NA,16.23,57.79,NA,NA,NA,NA,11.51,30.31,0,0,0,1.060168,83,16.23,,,,,,11.51,22.28,99.58,-2.78,4.38,1.056053,94
12-11-2025,NSE:SANDHAR,EQ,3073.94,541.15,191163,1034.47857,4.41,4.36,9.07,,-1.86,-0.56,-0.61,4.41,4.31,19.7,27,14.67,8.25,3.48,-1,-1,-1,HV2Y,-1,HVQ,-1,-1,-1,-1,-1,0.29,2.33,2.68,6.7,10.06,7.59,19.1,0,0,0,0,0,0,-2.75,-2.75,-2.75,-8.97,-20.55,-2.75,-1,-21.51,-42,-32.21,-27.1,32.47,32.47,58.37,58.37,6.23,26.76,27.17,15.61,11.1,8.48,2.22,13.85,20.76,5.82,3.4,1.06015,83,1.9,2.07,-3.65,-42,,,2.22,12.25,8.67,-19.66,-3.15,1.01297,75
12-11-2025,NSE:HINDALCO,EQ,190789.53,794.4,5569511,44244.19538,2.1,2.44,7.83,S,0.08,-4.66,-6.87,1.01,2.57,15.31,20.1,26.49,12.19,34.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1.42,0.45,-0.97,3.49,2.61,11.75,16.26,0,0,0,0,0,0,-7.77,-7.77,-7.77,-7.77,-7.77,-7.77,-0.82,-4.7,-16.65,-23.32,-8.4,19.09,25.88,41.4,56.69,4.51,16.12,19.75,12.99,15.9,38.44,0.48,9.46,13.86,17.64,7.34,1.059576,83,3.14,15.35,12.01,1.77,,,0.48,9.25,5.23,5.22,-15.07,1.015251,77
12-11-2025,NSE:BANKBARODA,EQ,143789.73,285,10006943,28519.78755,2.34,2.42,5.16,,-0.30,-1.09,2.82,4.75,6.33,16.06,18.33,25.3,9.51,4.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.58,2.25,2.89,6.14,9.61,8.08,19.26,0,0,0,0,0,0,-2.13,-2.13,-2.13,-2.13,-4.02,-2.13,0,-6.1,-12.04,-28.31,-13.15,22.41,23.03,45.47,45.47,7.97,14.65,22.11,18.8,2.36,10.78,4.24,10.21,12.09,16.45,4.66,1.059259,83,6.3,12.43,8.73,-4.38,,,4.24,6.56,2.28,5.75,-16.76,1.012973,75
12-11-2025,NSE:CSBBANK,EQ,7200.53,426,512561,2183.50986,3.58,3.55,4.37,,-1.38,1.73,1.22,0.53,8.5,-1.41,16.37,28.18,27.23,17.51,-1,-1,-1,-1,HVQ,EEP,-1,-1,-1,-1,-1,0.64,2.37,3.08,6.44,10.18,6.27,17.55,0,0,0,0,0,0,-2.81,-2.81,-2.81,-2.81,-2.81,-2.81,-10.43,-0.74,-1.86,-25.77,-24.78,22.48,22.48,55.11,55.11,10.79,12.08,57.29,29.71,3.73,2.26,6.41,-7.26,10.13,19.33,22.38,1.05913,83,10.79,-6.07,39.38,8.46,,,6.41,-14.66,17.11,11.34,3.06,1.023854,82
12-11-2025,NSE:GUJTHEM,EQ,5077.78,449.95,219080,985.75046,3.32,3.37,7.47,S,0.07,-2.37,-2.23,-0.59,6.56,24.39,31.54,NA,NA,NA,-1,-1,-1,-1,HV2Y,-1,-1,-1,-1,-1,6,-0.71,1.46,0.76,6.27,7.5,,,0,0,0,0,0,0,-4.25,-4.25,-4.25,NA,NA,-4.25,-1.92,-13.09,NA,NA,NA,28.3,49.41,NA,NA,9.28,23.59,55.41,NA,NA,NA,4.47,18.54,25.3,0,0,1.059129,83,9.28,21.9,,,,,4.47,15.26,9.03,97.22,4.38,1.039717,89
12-11-2025,NSE:KAYA,BE,678.89,420.95,10274,43.2484,2.81,3.08,19.03,2L,1.68,-3.74,-0.25,-5.73,-6.62,-3.05,40.8,29.49,4.38,19.37,-1,-1,-1,HV2Q,-1,-1,-1,-1,-1,-1,-1,-1.44,-1.48,-2.87,-0.56,-3.42,19.04,19.29,0,0,0,0,0,0,-9.84,-12.75,-12.75,-12.75,-39.75,-9.84,-6.97,-5.26,-55.29,-57.52,-42.39,4.88,60.36,95.34,95.34,1.68,11.82,101.3,15.64,9.6,48.36,-8.71,-8.9,34.56,20.64,-0.47,1.058627,82,-8.04,10.34,51.52,-55.29,,,-8.71,-0.49,42.13,-21.88,-31.23,1.020127,79
12-11-2025,NSE:ZYDUSWELL,EQ,15208.08,460.95,579335,2670.44468,3.76,3.78,7.85,S,0.52,-0.44,-7.15,-1.81,1.07,15.98,21.62,22.66,15.49,32.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.79,-0.83,-1.6,-1.83,-3.37,16.83,16.19,0,0,0,0,0,0,-6.67,-12.08,-12.08,-12.08,-12.08,-6.67,-13.02,-9.43,-22,-25.66,-18.77,19.43,28,50.11,56.38,3.86,18.15,26.12,17.66,20.95,32.16,-1.02,10.13,15.38,13.81,10.64,1.058382,82,1.07,12.92,7.65,-21.7,,,-1.02,11.24,6.29,-1.46,-4.89,1.017132,78
12-11-2025,NSE:CANFINHOME,EQ,11491.2,884.2,240488,2126.3949,2.59,2.64,7.1,,-1.27,2.56,2.17,5.19,10.25,15.9,18.51,24.95,2.08,10.37,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,1.18,2.38,3.64,6.03,10.29,7.77,19.59,0,0,0,0,0,0,-1.27,-1.27,-1.27,-1.27,-5.05,-1.27,-3.07,-9.64,-22.62,-28.74,-7.02,23.21,23.21,53.83,53.83,12.64,10.58,29.38,25.36,2.36,23.87,8.16,10.05,12.27,16.1,-2.77,1.058204,82,10.34,-0.09,10.42,-8.51,,,8.16,2.46,2.69,5.12,-26.09,1.008028,71
