Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
11-09-2025,NSE:IRCON,EQ,15069.88,24.6,3.03,169.37,1.57,0.51,-21.89,10.29,-34.23,-45.33,-1.52,-22.13,-1.22,-33.41,-43.71,0.9310078999724446,17
11-09-2025,NSE:GATEWAY,EQ,3217.21,10.04,2.58,63.49,-2.88,-4.76,-3.31,0.32,-33.19,-54.37,-6.79,-3.55,-11.19,-32.37,-52.75,0.9308667977980447,17
11-09-2025,NSE:TRIVENI,EQ,7683.32,3.59,2.73,350,-3.94,4.26,-21.33,-6.90,-24.86,-32.09,2.23,-21.57,-18.41,-24.04,-30.47,0.9307851798169149,17
11-09-2025,NSE:MOREPENLAB,EQ,2552.92,40.18,3.6,54.14,8.53,13.37,-21.92,8.24,-61.12,-65.04,11.34,-22.16,-3.27,-60.3,-63.42,0.9304185018707501,17
11-09-2025,NSE:SANSTAR,EQ,1475.81,6.11,3.79,89.22,3.55,5.07,-3.90,-7.30,-47.80,-52.54,3.04,-4.14,-18.81,-46.98,-50.92,0.9303865604784571,17
11-09-2025,NSE:NILAINFRA,EQ,415.95,4.33,3.01,10.62,2.17,-5.46,-16.67,8.95,-31.64,-40.11,-7.49,-16.91,-2.56,-30.82,-38.49,0.9302580336227199,16
11-09-2025,NSE:ZEEMEDIA,EQ,771.78,25,3.24,12.65,3.16,-1.66,-10.67,-13.60,-63.64,0.47,-3.69,-10.91,-25.11,-62.82,2.09,0.9302557189599692,16
11-09-2025,NSE:UFO,EQ,284.9,1.6,3.86,75.5,-1.42,2.78,-0.66,0.82,-53.39,-71.95,0.75,-0.9,-10.69,-52.57,-70.33,0.9301359111759622,16
11-09-2025,NSE:NOCIL,EQ,2964.69,2.63,2.56,187.01,1.09,7.10,-7.55,-2.24,-51.33,-59.54,5.07,-7.79,-13.75,-50.51,-57.92,0.9296920812307372,16
11-09-2025,NSE:CMSINFO,EQ,6791.89,4.64,2.51,423.35,1.90,-3.11,-16.56,-6.94,-24.29,-24.57,-5.14,-16.8,-18.45,-23.47,-22.95,0.929405748255413,16
11-09-2025,NSE:IKS,EQ,25941.86,3.18,3.15,1535.1,-2.28,-3.51,-12.46,-12.84,-23.77,-23.77,-5.54,-12.7,-24.35,-22.95,-22.15,0.9292590791101436,16
11-09-2025,NSE:BCLIND,EQ,1173.27,4.43,2.41,40.79,-0.29,-5.74,-6.94,0.64,-38.22,-38.83,-7.77,-7.18,-10.87,-37.4,-37.21,0.9290057272385017,16
