Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
12-01-2026,NSE:TATSILV,EQ,3016.02,24.69,77031239,19019.01291,6.96,6.86,8.42,,5.69,7.33,9.11,20.78,26.37,38.15,34.99,57.47,64.03,64.36,67.23,-1,-1,-1,EP,EP,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.49,5.98,14.33,15.83,35.84,28.61,90.28,100,100,53.97,71.43,80,85.71,42.86,54.76,0,0,0,0,0,0,0,-3.25,-2.42,-10.21,-9.37,80.88,130.53,183.14,214.52,31.75,49.88,79.93,24.7,13.12,12.1,26.54,34.25,57.3,51.14,59.39,1.495014,99,31.61,49.88,79.93,18.11,,,,26.54,10.81,35.15,2.69,9.99,1.116475,99
12-01-2026,NSE:HINDCOPPER,EQ,53457.09,545.7,28063193,153140.8442,5.16,5.68,4.36,,4.78,-1.26,10.67,28.98,34.57,37.75,36.86,51.44,64.72,56.36,32.86,-1,2,EP,EP,EP,2,2,-1,-1,-1,-1,5,-1,-1,4.46,7.74,13.22,18.3,38.58,25.48,85.96,100,100,63.49,44.44,20,61.9,22.22,19.05,-3.46,-3.46,-3.46,-3.46,-3.46,-3.46,-3.98,-5.38,-18.52,-51.76,-40.34,74.18,137.36,190.27,190.27,48.21,43.64,75.58,40.96,2.41,1.06,34.74,36.12,51.27,51.83,51.39,1.463135,99,42.74,43.64,75.58,-15.69,,,,34.74,2.59,23.66,14.6,-14.59,1.107708,98
12-01-2026,NSE:DHARIWAL,ST,307.03,325,61692,200.499,2.87,3.58,5.7,2M,-2.81,-7.42,-8,-5.97,5.86,18.12,39.66,53.85,69.08,55.08,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-6.29,1.04,-5.3,7.34,2.19,39.54,69.04,60,85.71,68.25,63.49,40,23.81,22.22,18.25,-11.77,-11.77,-11.77,-11.77,NA,-11.77,-16.57,-8.62,-5.54,-36.31,NA,100.06,129.36,256.16,NA,4.15,88.33,114.9,64.38,0,NA,6.03,38.92,53.68,56.19,50.11,1.453678,99,4.15,71.88,114.9,,,,,6.03,34.99,24.08,20.26,-36.18,1.116649,99
12-01-2026,NSE:SABTNL,BE,4186.55,1866.2,84928,1584.92634,5,5.02,32.68,,1.99,10.07,14.54,11.65,15.15,52.31,53.29,23.72,71.1,34.8,93.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,6.54,5.34,12.55,17.02,35.63,29.23,91.66,100,100,46.03,34.13,100,47.62,22.22,11.11,0,0,0,0,-15.94,0,0,-38.77,-35.87,-75.7,-45.19,142.44,142.44,402.82,1462.98,18.82,105.7,71.68,283.55,535.34,1333.16,15.32,52.55,23.55,58.21,29.83,1.422197,99,12.25,58.15,64.89,50.15,,,,15.32,44.04,-62.74,49.37,-116.48,1.183896,99
12-01-2026,NSE:JAYNECOIND,EQ,8972.99,88.11,7257088,6394.22024,5.72,5.71,4.06,,5.61,-5.11,2.18,13.42,18.18,16.22,20.01,56.53,64.32,52.89,42.29,-1,-1,2,2,EP,-1,EP,EP,EP,-1,-1,-1,-1,-1,1.58,3.75,5.54,8.05,14.78,26.19,55.5,100,52.38,36.51,58.73,20,23.81,19.05,26.19,-4.86,-4.86,-4.86,-4.86,-4.86,-4.86,-8.77,-5.06,-20.65,-44.84,-27.18,32.94,145.98,203.3,203.3,24.85,8.98,131.61,31.84,8.23,7.21,18.35,19.27,56.36,51.43,47.92,1.390116,99,21.11,7.61,130.93,-20.65,,,,18.35,1.32,46.23,5.17,-22.94,1.097412,98
12-01-2026,NSE:BHAGYANGR,BE,541.68,170.73,254284,434.13907,5.71,5.96,7.33,,4.36,0.84,5.77,21.51,26.02,18.96,41.23,49.93,58.98,44.39,36.1,-1,-1,-1,HV2Y,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.76,5.27,8.48,8.12,18.06,30.26,69.3,100,52.38,61.9,46.03,40,23.81,26.98,17.46,-5.81,-5.81,-5.81,-5.81,-5.81,-5.81,-21.79,-7.2,-21.54,-42.76,-22.4,76.21,104.98,156.93,156.93,30.3,40,50.99,28.64,1.24,5.13,26.19,40.49,49.76,46.09,39.42,1.380165,99,28.74,40,45.68,-13.35,,,,26.19,19.66,15.37,5.33,-26.48,1.083614,97
12-01-2026,NSE:SILVERCASE,EQ,841.01,25.83,16272585,4203.20871,5.74,6.1,5.71,,5.86,7.24,9.76,20.98,26.67,38.4,36.04,57.41,63.96,NA,NA,-1,-1,-1,EP,EP,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.64,6.08,14.61,15.93,36.33,,,100,100,53.97,72.22,60,85.71,34.92,53.17,0,0,0,NA,NA,0,0,-4.29,-2.14,NA,NA,82.16,130.01,NA,NA,32.26,49.13,76.31,18.92,NA,NA,26.84,35.3,57.24,51.07,0,1.364954,99,32.26,49.13,76.31,,,,,26.84,11.87,33.98,2.62,109.09,1.115811,99
12-01-2026,NSE:SMLMAH,EQ,5942.49,4243.4,71885,3050.36809,4.51,4.58,6.75,,-0.11,3,10.2,13.24,9.62,28.91,24.45,27.35,61.95,67.27,52.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1.66,4.86,6.85,12.42,22,16.7,46.47,100,38.1,12.7,34.13,60,28.57,9.52,15.87,-5.07,-5.07,-9.65,-9.65,-9.65,-5.07,0,-31.74,0,-31.57,-41.14,53.45,53.45,301.91,301.91,17.78,38.68,110.44,192,52.94,1.62,9.79,23.71,27.18,49.06,62.3,1.359196,99,12.71,4.67,89.86,68.28,,,,9.79,15.49,4.41,34.88,23.07,1.125254,99
12-01-2026,NSE:SHEETAL,SM,189.14,200.5,15660,31.3983,3.4,3.74,6.84,,10.93,17.83,19.95,26.73,25.51,28.8,28.68,34.16,56.86,63.09,68.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,33,14.82,5.45,21.44,8.38,32.54,14.47,54.97,100,85.71,57.14,46.03,100,85.71,55.56,33.33,0,0,0,0,0,0,0,-0.87,-3.51,-3.24,-3.9,42.81,64.95,176.55,261.59,37,22.87,64.65,123.16,56,33.45,25.68,27.94,33.99,43.97,58.12,1.357939,99,33.98,21.97,64.65,104.49,,,,25.68,3.34,8.26,21.73,23.54,1.106647,98
12-01-2026,NSE:SALSTEEL,BE,366.38,41,131057,53.73337,2.6,3.22,3.53,S,0.00,-5.17,-1.71,-4.02,14.83,0.44,32.76,58.24,55.44,43.93,55.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.5,1.2,-0.31,2.1,1.83,36,59.12,60,28.57,55.56,43.65,0,9.52,28.57,19.84,-7.32,-7.32,-7.32,-7.32,-7.32,-7.32,-21.05,-20.91,-38.81,-38.21,-22.25,53.85,170.81,170.81,170.81,16.15,31.03,82.1,2.51,8.56,25.29,15,32.02,58.07,42.55,38.96,1.348419,99,16.15,15.55,51.82,-37.2,,,,15,20.14,38.47,-19.46,-16.74,1.080076,97
