Date,Symbol,Series,Mkt Cap (₹ Crore),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,DA_EMA5,DA_EMA10,DA_21EMA,DA_SMA50,DA_SMA200,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
28-02-2026,NSE:CNXAUTO,IN,,28158.85,,,,,,,-1.86,1.11,-0.27,2.27,5,0.96,1.36,10.57,16.35,21.61,10.12,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-1.86,-2.64,-2.64,-2.64,-2.64,,,,,,,,,,,,,,,,,4.62,4.67,7.87,15.03,11.53,1.047539,,,,,,,,,4.62,-0.13,3.52,7.88,-2.59,1.014442,
28-02-2026,NSE:APOLLOHOSP,EQ,113079.44,7821.5,422276,33028.31734,1.61,1.8,7.62,,0.60,2.63,3.57,8.55,11.01,10.63,6.21,1.2,11.49,18.29,19.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,10,18,13,1.97,2.14,4.2,3.68,8.19,-2,6.06,60,14.29,4.76,11.11,60,14.29,4.76,7.94,0,0,-2.38,-2.38,-2.38,0,-11.04,-8.44,-2.5,-6.91,-14.06,15.13,15.13,29.23,29.23,12.81,2.46,7.68,27.68,14.38,5.52,10.63,9.52,-1.5,10.17,8.21,1.044097,74,12.57,-10.65,6.61,9.21,,,,10.63,-1.69,-11.16,11.84,-1.19,1.013443,68
28-02-2026,NSE:JSLL,EQ,10165.31,608.65,275374,1676.06385,5.11,5.16,4.11,L,-4.33,-13.33,-14.74,-17.03,-9.15,-12.68,-16.22,-14.15,29.13,41.42,65.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-8.06,-2.44,-10.25,-1.8,-11.84,6.29,-5.92,0,0,0,19.05,0,0,0,7.14,-17.8,-18.97,-27.36,-27.36,-27.36,-17.8,-16.33,-15.59,-4.09,-8.64,-24.48,0,0,98.79,189.83,0,2.14,70.65,126.92,106.63,70.82,-9.53,-12.91,-16.85,27.81,31.34,1.041407,71,-8.43,-10.98,65.87,79.88,,,,-9.53,-2.77,-4.03,39.34,8.45,1.044836,83
28-02-2026,NSE:CNXMNC,IN,,31703.1,,,,,,,-1.29,1.55,2.85,2.27,4.05,4.29,4.13,7.67,10.71,18.01,4.53,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-1.29,-1.29,-1.29,-1.29,-3.23,,,,,,,,,,,,,,,,,3.67,7.44,4.97,9.39,7.93,1.036124,,,,,,,,,3.67,3.79,-2.13,4.72,-0.71,1.010813,
28-02-2026,NSE:CNXPSE,IN,,10456.1,,,,,,,-0.69,0.85,2.69,1.05,2.72,7.4,6.81,11.8,4.53,17.34,-1.83,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-0.69,-0.69,-0.69,-0.69,-10.92,,,,,,,,,,,,,,,,,2.34,10.12,9.1,3.21,7.26,1.035449,,,,,,,,,2.34,7.9,-0.45,-6.82,4.53,1.011301,
28-02-2026,NSE:BANKNIFTY,IN,,60529,,,,,,,-1.08,-1.06,0.57,0.67,1.52,2.24,1.28,11.08,8.23,18.49,14.58,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-1.66,-1.66,-1.66,-1.66,-1.66,,,,,,,,,,,,,,,,,1.14,4.59,8.38,6.91,8.41,1.030589,,,,,,,,,1.14,3.46,4.12,-1.79,2.3,1.010418,
28-02-2026,NSE:BAJFINANCE,EQ,45000,995.9,7560565,75295.66684,2.33,2.54,6.38,,-1.68,-3.44,-2.9,1.43,6.63,0.66,-4.18,11.95,7.58,15.66,28.89,-1,-1,-1,-1,-1,2,2,2,-1,-1,0,0,11,12,19,-1.45,1.26,-0.18,2.06,1.92,0.98,2.93,0,0,0,24.6,0,0,0,19.84,-3.4,-4.97,-8.98,-8.98,-8.98,-3.4,-14.3,-5.18,-9.44,-1.28,-1.29,10.37,13.45,20.01,54.2,10.37,1.66,21.63,34.71,42.51,30.05,6.25,-0.87,9.25,6.26,5.58,1.028135,68,10.37,-11.64,13.01,32.5,,,,6.25,-7.88,9.67,-3.55,-0.14,1.007426,62
28-02-2026,NSE:CNXENERGY,IN,,37045.2,,,,,,,-0.37,1.25,3.6,1.6,5.15,6.02,4.04,9.08,2.85,14.24,-9.23,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-0.37,-0.37,-0.37,-0.37,-17.59,,,,,,,,,,,,,,,,,4.77,7.35,6.38,1.53,4.16,1.0271,,,,,,,,,4.77,2.53,-0.56,-5.43,2.84,1.006987,
28-02-2026,NSE:ULTRACEMCO,EQ,29000,12677,236681,30004.05037,1.75,1.77,6.24,,-2.01,-0.7,-2.26,-0.35,-0.13,7.67,8.5,1.23,11.11,10.96,14.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,42,34,-1.58,0.61,-0.97,3.14,2.24,2.18,4.52,100,100,38.1,24.6,80,80.95,31.75,20.63,-2.87,-2.87,-2.87,-2.87,-2.87,-2.87,-0.57,-9.9,-2.74,-7.91,-6.59,12.02,12.02,25.16,25.16,3.2,12.17,5.14,23.62,11.26,7.67,-0.51,11.81,-1.47,9.79,0.88,1.024013,65,3.2,5.32,3.48,12.59,,,,-0.51,12.32,-13.75,11.42,-9.05,1.007227,59
28-02-2026,NSE:CNXFINANCE,IN,,27869.75,,,,,,,-1.55,-1.22,-0.92,0.22,1.93,1.75,-0.07,8,4.99,16.46,17.22,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-2.09,-2.09,-2.09,-2.09,-2.09,,,,,,,,,,,,,,,,,1.55,3.24,5.3,3.67,6.38,1.020708,,,,,,,,,1.55,1.65,2.26,-1.85,3.19,1.007606,
