Date,Symbol,Series,Mkt Cap (₹ Crore),AVOL(50),ADR(20),ATR(20),CMP,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
13-10-2025,NSE:BAJFINANCE,EQ,45000,7246119,1.93,1.93,1036.75,1.26,2.69,4.98,4.27,6.41,9.96,15.74,29.05,30.68,33.94,-1,-1,-1,-1,EEP,EEP,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-2.84,-3.9,-5.32,-7.48,21.54,21.54,60.35,64.27,5.24,13.75,30.54,35.26,16.54,13.88,5.59,9.91,3.13,24.49,31.61,1.089004,68,,,,,,,5.59,4.57,-6.15,25.01,8.05,1.036442,77
13-10-2025,NSE:SBIN,EQ,65000,8620657,1.61,1.6,882.95,0.26,1.01,2.94,2.33,6.72,8.41,15.94,12.66,11.5,26.42,-1,-1,-1,-1,-1,EEP,-1,-1,9,-1,-1,0,0,0,0,-2.51,0,-0.97,-1.67,-16.94,-14.85,-13.71,11.2,17.13,28.19,37.33,7.21,4.91,17.4,7.75,27.44,29.14,5.9,8.36,3.33,8.1,12.43,1.041567,65,,,,,,,5.9,2.6,-4.35,5.31,4.42,1.013678,59
13-10-2025,NSE:BHARTIARTL,EQ,65000,6502032,1.48,1.48,1954.9,0.77,2.65,1.96,-0.38,2.14,1.69,12.24,18.2,15.22,41.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.38,-0.38,-3.88,-3.88,-3.88,-0.38,-5.94,-5.51,-3.14,-9.71,-6.42,5.65,11.29,28.18,76.11,4.67,3.94,22.4,19.7,44.07,49.31,1.32,1.64,-0.37,13.64,16.15,1.032236,62,,,,,,,1.32,0.31,-1.83,15.99,2.12,1.015211,62
13-10-2025,NSE:LT,EQ,45000,1585706,1.59,1.62,3769.5,-0.38,0.86,1.06,2.5,6.1,6.07,18.98,4.59,6.29,10.44,-1,-1,-1,-1,EEP,EEP,-1,-1,-1,-1,-1,-0.38,-0.38,-0.38,-4.5,-4.5,-0.38,-4.17,-3.91,-22.63,-8.89,-9.36,10.15,20.97,23.42,23.42,5.3,3.43,15.93,0,9.93,7.98,5.28,6.02,6.37,0.03,7.22,1.028229,59,,,,,,,5.28,0.75,1.17,-8.54,7.54,1.008991,50
13-10-2025,NSE:KOTAKBANK,EQ,50000,3460715,1.72,1.71,2152.1,0.09,0.28,7.31,5.63,8.35,-3.18,4.62,17.82,16.2,15.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-2.35,-5.14,-5.14,-5.14,0,-11.53,-2.12,-5.67,-8.58,-6.79,10.79,10.79,27.51,39.14,9.2,1.53,27.74,21.62,14.35,16.6,7.53,-3.23,-7.99,13.26,17.13,1.027552,56,,,,,,,7.53,-11.81,-5.01,23.05,3.8,1.015979,65
13-10-2025,NSE:HDFCBANK,EQ,120000,17607883,1.3,1.31,977,-0.40,0.36,3.27,1.03,0.94,-1.52,9.67,13.29,15.5,25.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.56,-3.54,-3.54,-3.54,-3.54,-0.56,-4.45,-1.88,-5.7,-9.48,-7.42,3.44,8.15,19.89,41.18,3.38,2.47,21.71,10.23,22.42,19.29,0.12,-1.57,-2.94,8.73,16.43,1.018322,53,,,,,,,0.12,-1.71,-1.55,13.22,8.31,1.013415,56
13-10-2025,NSE:AXISBANK,EQ,45000,6723203,1.9,1.94,1189.6,0.78,-1.95,2.99,4.51,8.59,1.33,10.76,9.64,3.05,10.3,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1.91,-1.91,-3.56,-3.56,-9.69,-1.91,-11.84,-4.84,-19.41,-18.4,-12.45,13.82,13.82,25.47,25.47,7.71,4.04,23.81,11.98,4.98,12.63,7.77,1.28,-1.85,5.08,3.98,1.018134,50,,,,,,,7.77,-7.17,-3.02,7.96,-1.53,1.004423,44
13-10-2025,NSE:BANKNIFTY,IN,,,,,56625,0.03,0.92,3.95,2.06,3.45,-0.23,11.28,11.99,9.9,18.82,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1.02,-1.45,-1.45,-1.45,,,,,,,,,,,,,,,,,2.63,-0.28,-1.33,7.43,10.83,1.017934,,,,,,,,2.63,-3.03,-1.09,10.02,3.38,1.008997,
13-10-2025,NSE:APOLLOHOSP,EQ,113079.44,380640,1.41,1.47,7671,-0.13,0.12,2.1,-1.77,-2.72,6.28,10.91,6.89,9.73,17.6,-1,-1,EEP,-1,EEP,EEP,-1,-1,-1,-1,-1,-2.75,-3.25,-3.25,-3.25,-3.25,-2.75,-0.62,-5.6,-8.1,-3.95,-4.28,8.28,14.12,26.74,33.03,3.54,13.64,18.78,12.91,23.87,20.08,-3.54,6.23,-1.7,2.33,10.66,1.012895,47,,,,,,,-3.54,9.54,-7.63,4.7,8.82,1.010627,53
13-10-2025,NSE:CNXMIDCAP,IN,,,,,58762.35,0.11,1.27,4.06,-0.56,1.22,0.2,15.62,4.24,0.39,17.5,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.56,-1.44,-1.65,-1.65,-3.43,,,,,,,,,,,,,,,,,0.4,0.15,3.01,-0.32,1.32,1.004864,,,,,,,,0.4,-0.25,2.88,-4.28,1.73,1.001771,
13-10-2025,NSE:NIFTY,IN,,,,,25227.35,-0.23,0.59,2.27,-0.4,0.88,0.31,11.21,6.1,0.85,13.37,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.77,-0.77,-1.6,-1.6,-3.77,,,,,,,,,,,,,,,,,0.06,0.26,-1.4,1.54,1.78,1.001617,,,,,,,,0.06,0.2,-1.63,3.45,0.17,1.001216,
13-10-2025,NSE:CNX500,IN,,,,,23294.8,-0.18,0.54,2.5,-0.82,0.82,0.05,12.61,4.56,-0.93,14.53,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.95,-0.95,-1.38,-1.86,-4.91,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,1,
13-10-2025,NSE:NIFTYMIDSML400,IN,,,,,20058.3,-0.09,0.65,3.11,-1.37,0.66,-0.87,15.96,1.9,-1.5,15.47,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.35,-2.69,-2.69,-3.86,-5.08,,,,,,,,,,,,,,,,,-0.16,-0.92,3.35,-2.66,-0.57,0.999734,,,,,,,,-0.16,-0.75,4.11,-7.51,2.29,1.000218,
13-10-2025,NSE:NIFTY_TOTAL_MKT,IN,,,,,13100.25,-0.20,0.51,2.44,-0.93,0.73,-0.08,12.72,4.18,-1.12,14.44,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.04,-1.04,-1.44,-2.14,-5.05,,,,,,,,,,,,,,,,,-0.09,-0.13,0.11,-0.38,-0.19,0.999347,,,,,,,,-0.09,-0.04,0.22,-0.58,0.23,0.999824,
13-10-2025,NSE:ICICIBANK,EQ,90000,9739164,1.13,1.16,1379.4,-0.07,1.16,1.44,-1.65,-1.61,-3.08,5.7,8.38,10.35,25.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.98,-7.34,-7.34,-7.34,-7.34,-2.98,-5.84,-2.76,-4.22,-6.12,-7.61,2.33,5.17,15.32,39.43,2.33,0.53,18.87,11.98,27.74,25,-2.43,-3.13,-6.91,3.82,11.28,0.999033,44,,,,,,,-2.43,-0.67,-4.05,12.06,7.91,1.0074,47
13-10-2025,NSE:ULTRACEMCO,EQ,29000,236669,1.56,1.59,12172,-0.89,0.96,0.84,-2.76,-1.81,-2.65,6.37,6.31,6.43,17.03,-1,-1,-1,EEP,EEP,-1,-1,-1,-1,-1,-1,-4.32,-5.45,-5.45,-5.45,-5.45,-4.32,-3.74,-0.53,-5.68,-5.63,-5.6,1.51,10.32,20.18,29.99,1.51,10.41,23.37,12.53,21.78,21.63,-2.63,-2.7,-6.24,1.75,7.36,0.99442,41,,,,,,,-2.63,-0.05,-3.78,9.15,5.88,1.004031,41
