Date,Symbol,Security Name,Mkt Cap (Millions),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (NDX),RS_score
08-09-2025,NASDAQ:SATS,EchoStar Corporation - Common stock,23199,7688190,5.65,80.63,23.37,66.08,78.32,65.10,69.55,77.17,64.51,69.90,50.11,58.89,56.80,2.18392,99
08-09-2025,NYSE:OKLO,Oklo Inc. Class A common stock,10439,13497607,7.67,70.72,-4.13,-12.16,28.89,62.85,71.54,91.77,-13.73,20.47,47.86,60.88,71.40,2.117572,99
08-09-2025,NYSE:AMPX,"Amprius Technologies, Inc. Common Stock",962,6061902,8.41,7.69,7.80,-0.39,62.29,73.99,69.57,88.20,-1.96,53.87,59.00,58.91,67.83,2.093127,99
08-09-2025,NASDAQ:PGEN,"Precigen, Inc. - Common Stock",1240,18469144,11.57,4.16,-8.41,54.81,63.94,55.29,79.24,76.80,53.24,55.52,40.30,68.58,56.43,1.949554,99
08-09-2025,NASDAQ:NKTR,Nektar Therapeutics - Common Stock,843,937527,7.61,44.33,32.64,50.94,77.46,70.29,63.79,58.04,49.37,69.04,55.30,53.13,37.67,1.912452,99
08-09-2025,NASDAQ:TMC,TMC the metals company Inc. - Common Stock,2121,8772417,6.93,5.22,-2.68,-5.75,21.46,65.13,82.95,82.96,-7.32,13.04,50.14,72.29,62.59,1.872117,99
08-09-2025,NASDAQ:NEGG,"Newegg Commerce, Inc. - Common Shares",759,1925637,24.77,39.11,-7.21,-51.98,73.41,79.69,70.39,60.57,-53.55,64.99,64.70,59.73,40.20,1.859899,99
08-09-2025,AMEX:UAMY,United States Antimony Corporation Common Stock,553,6200650,9.3,4.31,-5.57,18.33,21.81,66.59,77.24,83.26,16.76,13.39,51.60,66.58,62.89,1.801777,99
08-09-2025,NASDAQ:MLYS,"Mineralys Therapeutics, Inc. - Common Stock",2734,2495907,8.87,35.93,56.92,64.18,55.13,70.72,64.18,67.10,62.61,46.71,55.73,53.52,46.73,1.793699,99
08-09-2025,NASDAQ:CDTX,"Cidara Therapeutics, Inc. - Common Stock",1576,446980,5.6,62.15,-5.21,0.68,59.42,61.93,71.50,81.79,-0.89,51.00,46.94,60.84,61.42,1.77864,99
08-09-2025,NASDAQ:HSAI,"Hesai Group - American Depositary Share, each ADS represents one Class B ordinary share",3589,3474870,7.37,28.51,9.61,21.82,29.85,38.86,71.94,87.00,20.25,21.43,23.87,61.28,66.63,1.766729,99
08-09-2025,NASDAQ:ALM,Almonty Industries Inc. - Common Shares,1002,766752,7.04,4.62,3.68,13.85,38.31,56.93,78.94,81.29,12.28,29.89,41.94,68.28,60.92,1.763822,99
08-09-2025,NASDAQ:MVST,"Microvast Holdings, Inc. - Common Stock",937,7244662,8.17,2.88,7.29,6.25,-37.50,45.83,51.04,90.55,4.68,-45.92,30.84,40.38,70.18,1.755292,99
08-09-2025,NASDAQ:COMM,"CommScope Holding Company, Inc. - Common Stock",3588,6270448,4.03,16.195,0.96,7.44,62.58,67.24,70.42,76.17,5.87,54.16,52.25,59.76,55.80,1.744609,99
08-09-2025,NASDAQ:RKLB,Rocket Lab Corporation - Common Stock,23026,21348765,8.19,47.73,-1.82,7.37,39.41,60.61,51.79,86.72,5.80,30.99,45.62,41.13,66.35,1.70947,99
08-09-2025,NASDAQ:OUST,"Ouster, Inc. - Common Stock",1636,2574435,8.59,28.3,-0.81,18.37,48.45,71.45,67.84,77.31,16.80,40.03,56.46,57.18,56.94,1.704987,99
08-09-2025,NASDAQ:AEVA,"Aeva Technologies, Inc. - Common Stock",779,2733350,9.62,13.83,-7.05,10.23,-51.12,77.37,68.84,81.78,8.66,-59.54,62.38,58.18,61.41,1.701372,99
08-09-2025,NASDAQ:ALAB,"Astera Labs, Inc. - Common Stock",35920,4995974,6.31,216.1,15.69,20.92,58.01,69.03,46.09,80.71,19.35,49.59,54.04,35.43,60.34,1.690393,99
08-09-2025,NASDAQ:HOOD,"Robinhood Markets, Inc. - Class A Common Stock",104224,40375027,5.49,117.28,11.30,5.16,36.15,62.12,67.05,83.71,3.59,27.73,47.13,56.39,63.34,1.685786,99
08-09-2025,NYSE:CLS,"Celestica, Inc. Common Stock",28106,3263304,5.49,244.33,20.29,17.65,50.59,64.18,63.40,80.91,16.08,42.17,49.19,52.74,60.54,1.682422,99
08-09-2025,NASDAQ:IREN,IREN Limited - Ordinary Shares,7100,28382895,9.86,26.19,-1.11,29.10,62.77,70.60,50.63,74.34,27.53,54.35,55.61,39.97,53.97,1.680821,99
08-09-2025,NYSE:JMIA,"Jumia Technologies AG American Depositary Shares, each representing two Ordinary Shares",1085,4992265,7.97,9.38,8.32,37.95,64.07,74.20,60.02,53.41,36.38,55.65,59.21,49.36,33.04,1.670598,99
08-09-2025,NASDAQ:PGY,Pagaya Technologies Ltd. - Class A Ordinary Shares,2851,3685401,8.1,37.21,0.89,17.71,52.94,71.59,72.29,66.38,16.14,44.52,56.60,61.63,46.01,1.666875,99
08-09-2025,AMEX:ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),641,5543387,6.22,4.28,-4.44,13.32,16.59,67.99,74.07,78.07,11.75,8.17,53.00,63.41,57.70,1.650213,98
08-09-2025,NASDAQ:VSAT,"ViaSat, Inc. - Common Stock",4041,4047827,5.56,30.1,-7.41,12.89,69.40,67.67,67.71,49.63,11.32,60.98,52.68,57.05,29.26,1.646216,98
08-09-2025,NASDAQ:SLDP,"Solid Power, Inc. - Class A Common Stock",711,9187506,10.95,3.92,-10.46,-14.29,58.93,70.66,71.17,66.33,-15.86,50.51,55.67,60.51,45.96,1.642129,98
08-09-2025,NASDAQ:CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,25522,5137119,6.42,147.53,16.59,18.81,50.55,70.38,52.08,78.78,17.24,42.13,55.39,41.42,58.41,1.642113,98
08-09-2025,NYSE:BE,Bloom Energy Corporation Class A Common Stock,12505,10717754,6.92,53.44,0.94,31.14,59.24,56.81,51.09,79.10,29.57,50.82,41.82,40.43,58.73,1.632942,98
08-09-2025,NASDAQ:SSRM,SSR Mining Inc. - Common Stock,4337,3630411,3.63,21.39,9.72,30.62,40.44,53.67,71.95,77.37,29.05,32.02,38.68,61.29,57.00,1.627059,98
08-09-2025,NYSE:MP,MP Materials Corp. Common Stock,11108,10460114,6.14,62.72,-13.42,-13.31,59.02,60.17,63.15,77.73,-14.88,50.60,45.18,52.49,57.36,1.614743,98
08-09-2025,NASDAQ:GOSS,"Gossamer Bio, Inc. - Common Stock",605,3467464,8.48,2.66,7.14,34.59,50.00,54.51,73.68,67.71,33.02,41.58,39.52,63.02,47.34,1.604338,98
08-09-2025,NASDAQ:AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",931,1359231,5.9,10.44,10.15,24.90,48.95,62.93,48.75,79.98,23.33,40.53,47.94,38.09,59.61,1.599125,98
08-09-2025,NASDAQ:PSIX,"Power Solutions International, Inc. - Common Stock",1943,796725,8.69,84.39,1.78,-4.03,43.73,67.47,64.63,76.77,-5.60,35.31,52.48,53.97,56.40,1.588594,98
08-09-2025,AMEX:LEU,Centrus Energy Corp. Class A Common Stock,3727,1505100,6.99,204.68,1.44,-14.78,30.08,61.01,62.42,82.04,-16.35,21.66,46.02,51.76,61.67,1.57058,98
08-09-2025,NASDAQ:ATAI,ATAI Life Sciences N.V. - Common Shares,969,5268365,8.71,4.52,-1.33,8.19,46.68,66.59,63.94,73.01,6.62,38.26,51.60,53.28,52.64,1.561603,98
08-09-2025,NASDAQ:CRML,Critical Metals Corp. - Ordinary Shares,608,5969603,13.62,6.17,-0.41,31.44,77.80,67.42,-25.12,-28.85,29.87,69.38,52.43,-35.78,-49.22,1.551218,98
08-09-2025,NASDAQ:RAPP,"Rapport Therapeutics, Inc. - Common Stock",524,909075,12.31,31.47,43.98,51.03,59.77,72.70,36.38,32.63,49.46,51.35,57.71,25.72,12.26,1.544997,98
08-09-2025,AMEX:GROY,Gold Royalty Corp. Common Shares,654,2621168,5.64,3.83,5.48,19.58,47.00,63.71,66.84,67.36,18.01,38.58,48.72,56.18,46.99,1.536133,98
08-09-2025,AMEX:USAS,"Americas Gold and Silver Corporation Common Shares, no par value",791,1222289,7.53,2.91,6.19,7.22,27.51,57.02,64.35,79.50,5.65,19.09,42.03,53.69,59.13,1.532345,98
08-09-2025,NASDAQ:METC,"Ramaco Resources, Inc. - Class A Common Stock",1589,3109132,8.5,25.93,0.00,16.43,62.78,67.34,51.18,58.16,14.86,54.36,52.35,40.52,37.79,1.522653,98
08-09-2025,NASDAQ:KOD,Kodiak Sciences Inc - Common Stock,517,676517,10.57,9.79,7.66,16.24,56.89,63.02,25.74,75.28,14.67,48.47,48.03,15.08,54.91,1.508785,98
08-09-2025,NYSE:PL,Planet Labs PBC Class A Common Stock,2931,9201832,6.87,9.66,26.60,35.09,39.54,58.80,54.45,74.33,33.52,31.12,43.81,43.79,53.96,1.507708,98
08-09-2025,NASDAQ:APP,Applovin Corporation - Class A Common Stock,185036,5801267,5.18,547.04,12.51,20.05,23.61,50.56,32.99,83.94,18.48,15.19,35.57,22.33,63.57,1.506234,98
08-09-2025,NYSE:LDI,"loanDepot, Inc. Class A Common Stock",1261,6332110,10.18,3.81,43.83,54.33,65.88,52.76,41.99,31.23,52.76,57.46,37.77,31.33,10.86,1.497517,98
08-09-2025,NASDAQ:LASR,"nLIGHT, Inc. - Common Stock",1422,1007553,5.18,28.49,-1.09,28.15,38.22,67.46,61.60,60.83,26.58,29.80,52.47,50.94,40.46,1.478052,98
08-09-2025,AMEX:UUUU,Energy Fuels Inc Ordinary Shares (Canada),2745,14049482,8.97,11.9,2.86,19.33,54.03,65.80,41.34,63.11,17.76,45.61,50.81,30.68,42.74,1.450307,98
08-09-2025,NASDAQ:VSTM,"Verastem, Inc. - Common Stock",630,3161292,7.92,10.23,9.58,45.06,37.24,31.57,47.31,76.15,43.49,28.82,16.58,36.65,55.78,1.450222,97
08-09-2025,NASDAQ:DAVE,Dave Inc.  - Class A Common Stock,2635,445988,6.08,195.2,-9.23,1.95,-13.50,57.30,54.08,81.12,0.38,-21.92,42.31,43.42,60.75,1.445615,97
08-09-2025,NASDAQ:AEHR,Aehr Test Systems - Common Stock,754,2007424,9.27,25.19,0.95,25.33,54.98,64.87,51.49,47.96,23.76,46.56,49.88,40.83,27.59,1.434621,97
08-09-2025,NASDAQ:PSNYW,Polestar Automotive Holding UK Limited - Class C-1 ADS (ADW),2157,10367622,24.5,0.33,6.82,53.88,54.70,37.88,55.36,39.67,52.31,46.28,22.89,44.70,19.30,1.424739,97
08-09-2025,NASDAQ:WULF,TeraWulf Inc. - Common Stock,3753,66131817,9.34,9.2,-2.72,46.30,52.72,60.87,20.98,57.50,44.73,44.30,45.88,10.32,37.13,1.424584,97
08-09-2025,NYSE:YSG,"Yatsen Holding Limited American Depositary Shares, each representing twenty (20) Class A Ordinary Shares",866,519996,7.35,10.21,8.52,11.56,39.37,59.55,54.16,70.03,9.99,30.95,44.56,43.50,49.66,1.421743,97
08-09-2025,NASDAQ:KC,Kingsoft Cloud Holdings Limited - American Depositary Shares,4000,1653986,4.18,14.12,-4.60,-0.42,15.23,-24.22,46.74,84.77,-1.99,6.81,-39.21,36.08,64.40,1.416312,97
08-09-2025,NASDAQ:PLTR,Palantir Technologies Inc. - Class A Common Stock,370323,78166115,4.85,156.1,-0.39,-16.72,18.18,45.61,54.54,80.40,-18.29,9.76,30.62,43.88,60.03,1.413217,97
08-09-2025,NASDAQ:LQDA,Liquidia Corporation - Common Stock,2409,3076383,5.59,27.98,1.07,31.34,35.17,47.03,59.76,68.05,29.77,26.75,32.04,49.10,47.68,1.409714,97
08-09-2025,NYSE:IONQ,"IonQ, Inc. Common Stock",12208,15139904,5.96,41.01,-4.22,1.27,4.85,49.89,20.04,82.91,-0.30,-3.57,34.90,9.38,62.54,1.398913,97
08-09-2025,NYSE:CDE,"Coeur Mining, Inc. Common Stock",9358,14365966,3.89,14.56,9.68,22.53,35.65,61.74,53.85,63.05,20.96,27.23,46.75,43.19,42.68,1.395199,97
08-09-2025,NASDAQ:RZLV,Rezolve AI PLC - Ordinary Shares,1126,12498700,9.29,4.62,19.05,36.15,55.84,68.61,50.22,-83.98,34.58,47.42,53.62,39.56,-104.35,1.392651,97
08-09-2025,NASDAQ:WGS,GeneDx Holdings Corp. - Class A Common Stock,3715,680204,5.07,129.33,-0.12,18.08,44.27,24.22,41.97,77.10,16.51,35.85,9.23,31.31,56.73,1.389294,97
08-09-2025,NASDAQ:KTOS,"Kratos Defense & Security Solutions, Inc. - Common Stock",10826,3270427,5.14,64.14,-2.65,7.89,36.90,57.45,58.90,65.59,6.32,28.48,42.46,48.24,45.22,1.389034,97
08-09-2025,NASDAQ:STOK,"Stoke Therapeutics, Inc. - Common Stock",1205,1071035,7.34,21.99,10.14,39.75,49.34,63.57,48.02,29.56,38.18,40.92,48.58,37.36,9.19,1.387981,97
08-09-2025,NASDAQ:URGN,UroGen Pharma Ltd. - Ordinary Shares,991,1090213,5.65,21.42,9.20,13.21,65.59,54.15,42.39,34.78,11.64,57.17,39.16,31.73,14.41,1.384052,97
08-09-2025,NYSE:RDDT,"Reddit, Inc. Class A Common Stock",43042,6243216,5.93,229.98,2.13,7.90,47.26,41.74,34.85,75.22,6.33,38.84,26.75,24.19,54.85,1.379113,97
08-09-2025,NASDAQ:SOFI,"SoFi Technologies, Inc.  - Common Stock",30773,67418490,5.77,25.96,1.62,14.95,45.15,51.50,38.83,71.19,13.38,36.73,36.51,28.17,50.82,1.377944,97
08-09-2025,NASDAQ:LIF,"Life360, Inc. - Common Stock",7996,916614,3.98,103.11,12.28,27.00,38.08,57.39,49.10,63.87,25.43,29.66,42.40,38.44,43.50,1.37732,97
08-09-2025,NASDAQ:VRNA,Verona Pharma plc - American Depositary Shares,9142,1404043,0.24,106.3,0.37,0.85,20.66,39.18,63.63,74.11,-0.72,12.24,24.19,52.97,53.74,1.377162,97
08-09-2025,NASDAQ:LITE,Lumentum Holdings Inc. - Common Stock,10443,4329300,4.89,149.4,11.10,25.62,45.48,58.43,40.63,62.90,24.05,37.06,43.44,29.97,42.53,1.376713,97
08-09-2025,NASDAQ:WLDN,"Willdan Group, Inc. - Common Stock",1432,521553,5.44,97.65,-12.50,8.75,41.64,57.19,55.85,60.76,7.18,33.22,42.20,45.19,40.39,1.364993,97
08-09-2025,NASDAQ:RIGL,"Rigel Pharmaceuticals, Inc. - Common Stock",733,846550,5.79,40.87,4.94,25.52,47.42,49.79,33.81,67.75,23.95,39.00,34.80,23.15,47.38,1.364721,96
08-09-2025,NYSE:TPC,Tutor Perini Corporation Common Stock,3261,627204,3.41,61.83,4.67,10.93,34.35,57.01,55.81,64.14,9.36,25.93,42.02,45.15,43.77,1.36178,96
08-09-2025,AMEX:NGD,New Gold Inc.,5162,13202984,3.43,6.52,9.51,26.23,26.38,55.52,55.37,63.80,24.66,17.96,40.53,44.71,43.43,1.359621,96
08-09-2025,NASDAQ:XERS,"Xeris Biopharma Holdings, Inc. - Common Stock",1255,2335985,4.12,7.77,-0.77,15.06,41.06,45.43,55.98,66.02,13.49,32.64,30.44,45.32,45.65,1.359523,96
08-09-2025,NASDAQ:FUTU,Futu Holdings Limited - American Depositary Shares,29441,2330011,4.65,187.63,1.08,16.54,43.47,39.78,52.98,68.26,14.97,35.05,24.79,42.32,47.89,1.359002,96
08-09-2025,NYSE:U,Unity Software Inc. Common Stock,19225,12253550,5.63,45.5,13.38,26.22,44.77,46.84,46.26,64.97,24.65,36.35,31.85,35.60,44.60,1.357767,96
08-09-2025,AMEX:GAU,Galiano Gold Inc.,677,3654667,5.5,2.62,17.18,42.75,44.66,52.29,46.56,47.71,41.18,36.24,37.30,35.90,27.34,1.355436,96
08-09-2025,NASDAQ:INDV,Indivior PLC - Ordinary Shares,3087,2187650,3,24.74,1.86,10.87,43.13,60.79,54.73,50.93,9.30,34.71,45.80,44.07,30.56,1.350297,96
08-09-2025,NASDAQ:CIFR,Cipher Mining Inc. - Common Stock,3036,29999359,10.36,7.72,1.04,36.92,49.48,49.61,19.82,61.46,35.35,41.06,34.62,9.16,41.09,1.344299,96
08-09-2025,NYSE:RBLX,Roblox Corporation Class A Common Stock,89061,9209474,4.67,128.47,3.02,-0.90,25.43,55.50,58.33,66.33,-2.47,17.01,40.51,47.67,45.96,1.34229,96
08-09-2025,NYSE:SGHC,Super Group (SGHC) Limited Ordinary Shares,6343,2502326,4.14,12.65,8.06,17.94,27.11,44.66,47.19,72.41,16.37,18.69,29.67,36.53,52.04,1.341015,96
08-09-2025,NYSE:W,Wayfair Inc. Class A Common Stock,11288,4661622,4.35,87.06,14.31,15.83,47.99,59.79,43.97,51.87,14.26,39.57,44.80,33.31,31.50,1.339996,96
08-09-2025,NYSE:PRM,"Perimeter Solutions, SA Common Stock",3365,1469394,3.58,22.98,2.57,26.63,44.30,59.18,42.34,50.44,25.06,35.88,44.19,31.68,30.07,1.334132,96
08-09-2025,NASDAQ:INSM,Insmed Incorporated - Common Stock,31004,2958541,3.16,146.68,7.21,25.48,49.81,48.94,50.62,48.70,23.91,41.39,33.95,39.96,28.33,1.333511,96
08-09-2025,NASDAQ:SOUN,"SoundHound AI, Inc. - Class A Common Stock",6234,65776598,8.4,15.29,14.85,29.89,33.88,36.30,41.92,70.63,28.32,25.46,21.31,31.26,50.26,1.332743,96
08-09-2025,NASDAQ:TIGR,UP Fintech Holding Limited - American Depositary Shares representing fifteen Class A Ordinary Shares,2171,6609487,6.47,12.25,-2.04,18.37,31.10,39.92,49.96,70.53,16.80,22.68,24.93,39.30,50.16,1.331601,96
08-09-2025,NYSE:KGC,Kinross Gold Corporation Common Stock,27459,17563395,2.57,22.53,7.23,16.69,33.02,50.51,55.97,61.96,15.12,24.60,35.52,45.31,41.59,1.331437,96
08-09-2025,AMEX:UEC,Uranium Energy Corp. Common Stock,5252,12627205,6.22,11.82,9.56,16.67,46.95,57.78,30.71,59.48,15.10,38.53,42.79,20.05,39.11,1.326612,96
08-09-2025,NYSE:DRD,DRDGOLD Limited American Depositary Shares,1787,608795,3.57,21.51,14.09,26.36,36.12,38.26,54.77,63.13,24.79,27.70,23.27,44.11,42.76,1.32639,96
08-09-2025,NASDAQ:EOSE,"Eos Energy Enterprises, Inc. - Common Stock",1918,11584513,7.29,6.87,-0.44,4.51,44.10,33.04,57.35,64.48,2.94,35.68,18.05,46.69,44.11,1.324046,96
08-09-2025,NASDAQ:COOP,Mr. Cooper Group Inc. - Common Stock,13764,793977,4.31,215.08,12.34,13.58,38.96,50.63,55.02,57.39,12.01,30.54,35.64,44.36,37.02,1.319934,96
08-09-2025,NYSE:QS,QuantumScape Corporation Class A Common Stock,5372,20125580,5.99,9.49,16.44,2.63,56.48,52.79,47.21,41.73,1.06,48.06,37.80,36.55,21.36,1.318248,96
08-09-2025,AMEX:ARMN,Aris Mining Corporation Common Shares,1866,1909397,4.6,9.22,5.86,13.12,31.67,57.05,58.68,50.87,11.55,23.25,42.06,48.02,30.50,1.317801,96
08-09-2025,NASDAQ:EVLV,"Evolv Technologies Holdings, Inc. - Class A Common Stock",1422,3628770,5.26,8.27,0.36,15.60,33.25,61.67,48.25,53.33,14.03,24.83,46.68,37.59,32.96,1.316353,95
08-09-2025,NASDAQ:QURE,uniQure N.V. - Ordinary Shares,956,986046,5.61,17.43,6.31,22.83,0.92,29.83,63.22,68.96,21.26,-7.50,14.84,52.56,48.59,1.315417,95
08-09-2025,NYSE:GFI,Gold Fields Limited American Depositary Shares,30581,3190239,2.91,35.61,5.98,12.58,30.81,43.30,59.28,61.95,11.01,22.39,28.31,48.62,41.58,1.313097,95
08-09-2025,NASDAQ:SEDG,"SolarEdge Technologies, Inc. - Common Stock",1985,4510960,8.74,33.44,-1.14,26.97,45.60,49.61,56.16,35.05,25.40,37.18,34.62,45.50,14.68,1.312831,95
08-09-2025,AMEX:SLI,Standard Lithium Ltd. Common Shares,602,1705862,5.85,2.95,0.34,9.15,42.03,55.59,41.36,59.66,7.58,33.61,40.60,30.70,39.29,1.308798,95
08-09-2025,NASDAQ:REAL,"The RealReal, Inc. - Common Stock",948,4030058,6.18,8.23,7.29,33.05,30.62,34.39,28.31,71.32,31.48,22.20,19.40,17.65,50.95,1.307307,95
08-09-2025,NASDAQ:AMSC,American Superconductor Corporation - Common Stock,2262,939894,5.81,50.08,0.36,-8.43,37.14,61.56,34.42,62.60,-10.00,28.72,46.57,23.76,42.23,1.299671,95
08-09-2025,NASDAQ:NAKA,"Kindly MD, Inc. - Common Stock",1715,1800164,25.34,4.56,-19.30,-64.47,-248.25,63.82,65.35,72.15,-66.04,-256.67,48.83,54.69,51.78,1.299471,95
08-09-2025,NYSE:SBSW,D/B/A Sibanye-Stillwater Limited ADS,6036,7740936,3.13,9.02,16.08,2.99,25.28,56.98,52.99,59.53,1.42,16.86,41.99,42.33,39.16,1.295227,95
08-09-2025,NASDAQ:APLD,Applied Digital Corporation - Common Stock,3638,25615267,8.1,13.91,-14.88,-2.37,0.36,47.81,31.20,76.71,-3.94,-8.06,32.82,20.54,56.34,1.288927,95
08-09-2025,NASDAQ:TLN,Talen Energy Corporation - Common Stock,17520,1180636,3.54,383.49,1.19,2.06,32.58,54.04,44.55,62.75,0.49,24.16,39.05,33.89,42.38,1.287244,95
08-09-2025,NASDAQ:WDC,Western Digital Corporation - Common Stock,32364,7347606,2.81,93.29,13.88,20.21,40.56,55.30,41.93,49.01,18.64,32.14,40.31,31.27,28.64,1.285257,95
08-09-2025,NASDAQ:XMTR,"Xometry, Inc. - Class A Common Stock",2632,751849,5.71,51.79,4.46,16.82,29.04,52.44,38.21,63.99,15.25,20.62,37.45,27.55,43.62,1.285079,95
08-09-2025,NASDAQ:IRTC,"iRhythm Technologies, Inc. - Common Stock",6010,442115,2.91,187.07,9.14,13.94,21.59,45.61,54.02,63.13,12.37,13.17,30.62,43.36,42.76,1.284073,95
08-09-2025,NYSE:PARR,"Par Pacific Holdings, Inc.  Common Stock",1703,1656087,4.92,33.52,-3.34,19.06,35.86,60.68,48.51,36.10,17.49,27.44,45.69,37.85,15.73,1.283998,95
08-09-2025,NYSE:IHS,IHS Holding Limited Ordinary Shares,2461,605411,4.25,7.38,1.76,10.70,23.58,51.76,55.96,57.18,9.13,15.16,36.77,45.30,36.81,1.283651,95
08-09-2025,NASDAQ:TTMI,"TTM Technologies, Inc. - Common Stock",4856,2016338,4.52,47,5.17,7.74,29.32,51.15,47.89,61.51,6.17,20.90,36.16,37.23,41.14,1.279358,95
08-09-2025,NYSE:WWW,"Wolverine World Wide, Inc. Common Stock",2579,1646500,3.21,31.74,-0.63,12.57,44.08,55.55,25.39,56.49,11.00,35.66,40.56,14.73,36.12,1.278163,95
08-09-2025,NASDAQ:TRVI,"Trevi Therapeutics, Inc. - Common Stock",926,2124107,5.93,7.6,4.54,3.95,7.11,43.42,63.42,61.18,2.38,-1.31,28.43,52.76,40.81,1.277027,95
08-09-2025,NYSE:AU,AngloGold Ashanti PLC Ordinary Shares,30096,2943507,2.91,62.19,8.89,6.67,26.10,49.38,58.71,54.12,5.10,17.68,34.39,48.05,33.75,1.2766,95
08-09-2025,NYSE:REVG,"REV Group, Inc. Common Stock",3035,955304,3.65,62.19,14.44,19.59,27.93,50.14,49.08,56.81,18.02,19.51,35.15,38.42,36.44,1.275197,95
08-09-2025,NASDAQ:SYM,Symbotic Inc. - Class A Common Stock,28105,1708762,5.99,47.595,0.35,-13.90,37.37,51.07,46.42,61.93,-15.47,28.95,36.08,35.76,41.56,1.273885,95
08-09-2025,AMEX:MTA,Metalla Royalty & Streaming Ltd. Common Shares,515,702459,4.92,5.57,1.80,25.13,34.83,50.99,46.14,48.65,23.56,26.41,36.00,35.48,28.28,1.2714,94
08-09-2025,NYSE:SMR,NuScale Power Corporation Class A Common Stock,9672,12874384,8.02,33.95,-2.06,-31.61,-1.21,53.96,26.75,76.29,-33.18,-9.63,38.97,16.09,55.92,1.269962,94
08-09-2025,NASDAQ:STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),40247,2827506,3.22,189.24,11.54,21.74,32.91,53.50,47.79,46.77,20.17,24.49,38.51,37.13,26.40,1.268441,94
08-09-2025,NASDAQ:RZLT,"Rezolute, Inc. - Common Stock (NV)",692,829388,4.79,7.95,10.44,29.94,44.28,51.57,32.70,40.88,28.37,35.86,36.58,22.04,20.51,1.266185,94
08-09-2025,NYSE:JOBY,"Joby Aviation, Inc. Common Stock",11496,27960938,5.99,13.43,-5.36,-28.44,39.54,50.71,41.55,63.66,-30.01,31.12,35.72,30.89,43.29,1.263703,94
08-09-2025,NYSE:GEV,GE Vernova Inc. Common Stock,163397,2779665,3.74,600.23,-2.12,-7.60,19.20,51.80,44.70,66.74,-9.17,10.78,36.81,34.04,46.37,1.262258,94
08-09-2025,NASDAQ:TNGX,"Tango Therapeutics, Inc. - Common Stock",758,1379069,6.1,6.81,1.47,2.94,37.44,70.48,45.81,-59.18,1.37,29.02,55.49,35.15,-79.55,1.259913,94
