Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
11-12-2025,NSE:CNXREALTY,IN,,873.2,,,,,,,0.75,-1.94,-3.63,-5.68,-7.42,-2.69,-1.21,-17.64,5.39,-22.98,-5.92,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,,,-7.63,-9.85,-14.42,-21.94,-24.09,,,,,,,,,,,,,,,,,-6.21,-3.23,-18.54,-7.79,-23.99,0.952541,,,,,,,,-6.21,2.57,-15.09,7.19,-15.98,0.986077,
11-12-2025,NSE:SAGCEM,EQ,2882.1,212.45,115549,245.48385,2.69,2.64,7.47,2L,1.33,2.11,-0.75,-2.38,-4.02,-17.85,-32.31,-5,14.49,-11.41,-5.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.88,-1.79,-0.89,-5.93,-6.44,-0.32,-6.74,0,0,11.11,22.22,0,0,0,5.56,-4.12,-24.57,-27.81,-27.81,-27.81,-4.12,-24.91,-4.49,-9.62,-32.61,-12.21,4.33,4.33,24.45,24.45,4.33,2.5,64.67,30.67,3.19,19.38,-2.81,-34.33,-5.9,1.31,-12.42,0.952455,46,-3.54,-3.41,54.17,-3.63,,,-2.81,-30.41,21.78,6.17,-16.27,0.988968,52
11-12-2025,NSE:OBEROIRLTY,EQ,63594.03,1632.8,483740,7898.50672,2.55,2.52,4.44,,0.39,-1.89,-1.76,-4.64,-6.49,2.03,1.29,-16.43,4.15,-31.27,6.54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.41,-1.14,-1.53,-1.09,-2.59,-0.42,-3,0,0,0,8.73,0,0,0,7.94,-6.82,-9.67,-17.91,-29.7,-29.7,-6.82,-3.81,-18.97,-18.15,-32.62,-0.99,3.93,3.93,10.08,17.08,1.6,10.67,8.66,28.16,15.03,57.54,-5.28,-0.73,-17.33,-9.03,-32.28,0.952429,46,-6.39,7.95,4.44,8.8,,,-5.28,4.1,-16.81,5.28,-22.94,0.982755,43
11-12-2025,NSE:TCS,EQ,1121607.13,3191.9,3024466,96537.93025,1.43,1.45,6.36,,0.08,-1.17,1.73,1.48,1.88,5.13,2.57,-8.77,-12.84,-39.27,-23.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,0.99,1.11,2.68,3.9,-6.47,-2.42,0,0,0,0,0,0,0,0,-1.43,-1.43,-9.2,-28.66,-29.91,-1.43,-1.41,-14.98,-23.23,-20.91,-2.38,10.51,10.51,10.51,10.51,3.39,8.43,3.56,7.44,3.4,21.1,3.09,0.55,-9.67,-26.02,-40.28,0.952359,45,2.78,2.99,-13.88,-22.1,,,3.09,-2.5,-10.5,-16.13,-9.42,0.972103,29
11-12-2025,NSE:INDIAMART,EQ,14875.37,2238.8,94793,2122.22568,2.19,2.18,11.59,2L,0.18,-2.39,-3.77,-6.83,-11.87,-6.82,-15.08,-11.58,10.17,-5.32,-16.6,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,-1,-2.06,-1.82,-3.81,-2.37,-6.03,0.24,-5.81,0,0,0,34.92,0,0,0,10.32,-9.62,-14.3,-18.34,-18.34,-28.98,-9.62,-6.22,-6.03,-20.16,-36.21,-25.21,0.18,0.18,16.26,16.26,0.18,7.5,33.79,29.73,2.83,5.17,-10.66,-17.1,-12.48,-3.01,-6.33,0.952227,45,-9.62,-1.42,28.13,-16.28,,,-10.66,-6.07,4.18,7.1,-3.23,0.991397,55
11-12-2025,NSE:GREENLAM,EQ,6763.97,239.55,129507,310.23402,3.69,3.62,9.09,3L,1.70,-0.9,-4.34,-5.66,-11.44,-5.58,-1.41,-3.72,-1.48,-22.41,-19.96,-1,-1,-1,-1,EEP,HV2Q,-1,-1,-1,-1,-1,-1.31,-1.99,-3.24,-2.72,-5.8,4.34,-1.53,0,9.52,38.1,19.05,0,9.52,22.22,11.11,-10.36,-10.36,-10.36,-20.56,-23.55,-10.36,0,-17.1,-17.61,-22.41,-6.42,2.28,10.41,16.83,16.83,1.96,23.04,18.48,21.17,8.96,25.96,-10.23,-3.43,-4.62,-14.66,-23.42,0.952121,45,-10.36,17.09,1.2,-10.89,,,-10.23,5.8,-1.13,-10.24,-6.61,0.98198,42
11-12-2025,NSE:DENTALKART,SM,1005.53,582,13705,79.7631,1.81,1.85,5.78,S,0.18,-2.92,-3.85,-3.46,1.47,-0.97,-2.52,-11.25,-3.57,-35.58,10.65,-1,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,-1.3,-0.56,-1.84,-0.57,-2.4,-3.23,-5.46,0,0,0,0,0,0,0,0,-3.71,-7.98,-11.38,-27.51,-27.51,-3.71,-12.68,-13.52,-19.35,-24.92,-1.6,1.49,1.49,3.09,19.61,0.4,0,1.4,16.94,25.91,64.81,2.68,-4.54,-12.15,-16.75,-36.59,0.952076,45,-0.15,-7.51,-4.66,15.63,,,2.68,-7.25,-7.38,-5.49,-16.89,0.974244,31
11-12-2025,NSE:FAZE3Q,EQ,1240.27,451.15,90430,407.97495,5.3,5.19,7.94,3L,0.19,-5.63,-17.97,-24.43,-13.7,-6.32,-20.89,-24.58,17.7,2.98,12.4,-1,-1,HVY,HV2Q,HVQ,HVQ,-1,-1,-1,-1,-1,-4.75,-3.45,-7.93,-1.08,-8.92,-2.89,-11.48,0,0,0,10.32,0,0,0,5.56,-19.63,-19.63,-38.6,-38.6,-38.6,-19.63,-5.95,-25.78,-13.31,-33.99,-22.19,1.03,9.73,36.98,36.98,1.03,24.76,57.27,70.65,12.74,21.87,-12.49,-22.91,-25.48,4.52,1.97,0.952029,45,-12.14,9.08,49.02,17.36,,,-12.49,-9.53,-1.91,21.55,-3.87,1.003671,69
11-12-2025,NSE:JSWCEMENT,EQ,17419.71,116.3,2513743,2923.48311,3.11,3.08,4,,0.91,4.14,-0.48,-8.47,-5.1,-20.96,-27.27,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.81,-3.06,-1.21,-8.77,-9.18,,,0,0,0,16.05,0,0,0,8.64,-9.67,-23.09,NA,NA,NA,-9.67,-23.21,NA,NA,NA,NA,7.67,NA,NA,NA,7.67,0,NA,NA,NA,NA,-3.89,-29.29,0,0,0,0.951989,45,-9.67,,,,,,-3.89,-24.29,101.14,-12.39,14.01,0.967523,24
11-12-2025,NSE:HUHTAMAKI,EQ,1757.02,214.91,590903,1269.90964,3.07,3.02,6.21,2L,1.48,0.6,-3.24,-5.11,-12.06,-9.35,-6.6,3.96,6.18,-39.08,-50.5,-1,-1,EEP,-1,-1,-1,-1,-1,-1,-1,-1,-0.24,-2.72,-2.88,-6.38,-8.7,8.5,-0.23,0,0,38.1,34.13,0,0,20.63,18.25,-11.36,-20.41,-20.41,-29.55,-51.18,-11.36,-10.81,-3.8,-48.44,-54.2,-32.11,2.82,3.58,22.07,22.07,2.82,14.18,27.59,17.24,14.52,14.65,-10.85,-8.62,3.06,-7,-40.09,0.951931,45,-11.36,14.1,13.34,-48.33,,,-10.85,1.67,11.04,-10.07,-34.23,0.975553,33
