Date,Symbol,Series,Mkt Cap (₹ Crore),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
30-10-2025,NSE:CNXFMCG,IN,,56343.5,,,,,,-0.48,-0.76,2.83,3.29,2.48,2.58,-0.18,0.49,-3.64,4.37,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.76,-1.33,-1.33,-5.7,-15.02,,,,,,,,,,,,,,,,,-2.14,-0.92,-7.78,-10.09,-8.06,0.973358,,,,,,,,-2.14,1.28,-7.08,-2.56,2.74,0.991978,
30-10-2025,NSE:CNXPHARMA,IN,,22298.2,,,,,,-0.59,-0.82,1.08,2.65,3.69,-3.47,2.36,1.91,-1.22,14.82,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.97,-3.36,-3.36,-5.33,-6.25,,,,,,,,,,,,,,,,,-0.93,-6.97,-5.24,-8.67,-5.64,0.972763,,,,,,,,-0.93,-6.26,1.38,-3.69,3.7,0.992125,
30-10-2025,NSE:HCLTECH,EQ,34000,1549.8,2746480,42564.94704,1.81,1.94,1,-0.48,1.67,3.49,6.23,10.48,4.99,-1.14,-15.68,-19.04,-7.31,-1,-1,-1,EEP,EEP,-1,-1,-1,-1,-1,-1,-0.48,-0.48,-10.93,-22.32,-22.32,-0.48,-19.61,-15.37,-21.43,-10.14,-1.35,11.89,11.89,12.79,18.89,11.89,0,7.15,14.07,37.54,41.53,5.86,1.49,-8.74,-26.26,-23.46,0.965832,33,,,,,,,5.86,-4.95,-10.71,-17.61,3.99,0.98254,24
30-10-2025,NSE:HCLTECH,EQ,413806.79,1549.8,2746480,42564.94704,1.81,1.94,1,-0.48,1.67,3.49,6.23,10.48,4.99,-1.14,-15.68,-19.04,-7.31,-1,-1,-1,EEP,EEP,-1,-1,-1,-1,-1,-1,-0.48,-0.48,-10.93,-22.32,-22.32,-0.48,-19.61,-15.37,-21.43,-10.14,-1.35,11.89,11.89,12.79,18.89,11.89,0,7.15,14.07,37.54,41.53,5.86,1.49,-8.74,-26.26,-23.46,0.965832,30,,,,,,,5.86,-4.95,-10.71,-17.61,3.99,0.98254,21
30-10-2025,NSE:ITC,EQ,60000,418.75,14127598,59159.31663,1.14,1.18,3,-0.68,0.67,4.5,4.54,2.75,2.46,-1.68,-5.46,-6.33,8.46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.68,-0.68,-5.45,-9.75,-15.14,-0.68,-4.09,-11.7,-13.71,-10.51,-9.77,5.53,5.53,6.05,9.98,5.53,2.25,3.44,7.84,15.99,16.95,-1.87,-1.04,-9.28,-16.04,-10.75,0.965721,27,,,,,,,-1.87,0.89,-8.5,-6.94,6.06,0.989353,36
30-10-2025,NSE:SUNPHARMA,EQ,33000,1703.4,2439711,41558.03717,1.59,1.65,0,-0.73,0.79,2.84,4.22,6.7,-0.42,-7.57,-6.97,-8.54,9.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.73,-1.75,-7.25,-10.48,-12.59,-0.73,-8.33,-7.12,-5.97,-6.49,-5.12,8.96,8.96,8.96,19.13,6.84,1.66,9.19,16.97,27.44,29.31,2.08,-3.92,-15.17,-17.55,-12.96,0.960342,24,,,,,,,2.08,-6.45,-11.37,-2.68,5.42,0.987219,30
30-10-2025,NSE:CNXIT,IN,,35906.4,,,,,,-0.51,-0.48,1.41,1.88,6.16,1.48,0.31,-21.22,-17.36,-5.91,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.62,-2.3,-8.77,-21.94,-21.94,,,,,,,,,,,,,,,,,1.54,-2.02,-7.29,-31.8,-21.78,0.953815,,,,,,,,1.54,-3.81,-5.44,-24.82,10.07,0.981721,
30-10-2025,NSE:CNXMEDIA,IN,,1558.95,,,,,,-0.29,0.81,1.26,0.19,-0.2,-5.05,2.89,-5.42,-24.25,-42.6,0,0,0,0,0,0,0,-1,-1,-1,-1,-2.86,-6.73,-12.12,-25.19,-28.25,,,,,,,,,,,,,,,,,-4.82,-8.55,-4.71,-16,-28.67,0.947267,,,,,,,,-4.82,-3.66,3.31,-11.78,-10.97,0.976458,
30-10-2025,NSE:INFY,EQ,70000,1493.8,7842280,117147.97864,1.62,1.91,4,-1.10,-2.32,1.3,-0.08,3.48,-1.33,-0.42,-25.55,-24.74,-12.82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.27,-3.04,-8.95,-25.3,-25.3,-2.27,-12.12,-20.98,-24.98,-6.21,-5.32,4.97,4.97,6.95,7.19,3.66,1.31,8.37,7.4,34.57,33.7,-1.14,-4.83,-8.02,-36.13,-29.16,0.940106,21,,,,,,,-1.14,-3.81,-3.35,-28.25,7.54,0.97593,16
30-10-2025,NSE:SRD,EQ,496.57,68.44,144690,99.02584,4.64,4.7,3,0.15,-4.63,-2.35,-7.42,4.91,-20.22,6.47,2.16,-47.24,NA,-1,-1,-1,HV2Q,-1,-1,-1,-1,-1,-1,-1,-7.02,-21.76,-21.76,-29.94,NA,-7.02,-25.61,0,-42.83,-40.19,NA,8.88,19.46,26.93,NA,8.88,0,52.6,18.71,14.36,NA,0.29,-23.72,-1.13,-8.42,-51.66,0.939659,19,,,,,,,0.29,-25.25,17.95,-7.84,-43.6,0.96991,7
30-10-2025,NSE:TECHM,EQ,22000,1433.8,1694669,24298.16412,1.79,1.85,4,-1.27,-2.06,-1.76,-1.7,1.61,-1.39,-4.83,-20.17,-21.06,7.9,-1,-1,-1,-1,-1,HV2Y,-1,-1,-1,-1,-1,-2.33,-7.72,-16.57,-20.18,-20.18,-2.33,-15.88,-15.41,-16.33,-4.08,-0.01,2.39,2.39,12.65,21.54,2.39,0.21,14.23,18.09,46.06,47.14,-3.01,-4.89,-12.43,-30.75,-25.48,0.93889,16,,,,,,,-3.01,-1.88,-7.63,-17.87,6.15,0.977335,19
30-10-2025,NSE:WIPRO,EQ,25000,241.92,9437376,22830.90002,1.67,1.79,5,-0.15,-0.98,-3.43,-0.97,0.94,-4.08,0.17,-32.32,-13.03,-9.94,-1,-1,-1,-1,EEP,EEP,-1,-1,-1,-1,-1,-4.68,-5.84,-10.42,-24.42,-24.42,-4.68,-11.26,-21.08,-24.55,0,-4.59,2.62,2.62,3.32,10.73,1.07,1.65,7.54,3.14,46.52,25.16,-3.68,-7.58,-7.43,-42.9,-17.45,0.936811,13,,,,,,,-3.68,-3.89,-0.16,-35.78,21.46,0.983733,27
30-10-2025,NSE:TCS,EQ,145000,3035.3,3019777,91659.29128,1.59,1.65,4,-0.73,-1.25,2.16,0.27,4.59,-0.68,-13.78,-36.8,-33.36,-32.79,-1,-1,-1,-1,-1,EEP,-1,-1,-1,-1,-1,-1.61,-4.45,-16.16,-32.16,-33.35,-1.61,-15.56,-25.69,-24.16,-8.81,-11.11,5.09,5.09,5.09,5.09,5.09,0,0,6.88,13.11,10.27,-0.03,-4.18,-21.38,-47.38,-37.78,0.923088,10,,,,,,,-0.03,-4.34,-17.26,-23.46,9.41,0.970233,13
30-10-2025,NSE:TCS,EQ,1107351.87,3035.3,3019777,91659.29128,1.59,1.65,4,-0.73,-1.25,2.16,0.27,4.59,-0.68,-13.78,-36.8,-33.36,-32.79,-1,-1,-1,-1,-1,EEP,-1,-1,-1,-1,-1,-1.61,-4.45,-16.16,-32.16,-33.35,-1.61,-15.56,-25.69,-24.16,-8.81,-11.11,5.09,5.09,5.09,5.09,5.09,0,0,6.88,13.11,10.27,-0.03,-4.18,-21.38,-47.38,-37.78,0.923088,7,,,,,,,-0.03,-4.34,-17.26,-23.46,9.41,0.970233,10
30-10-2025,NSE:VIKASECO,EQ,366.12,1.9,3002533,57.04813,2.33,2.33,6,-0.52,-2.63,-0.53,-3.16,-4.74,-20.53,-20.53,-54.21,-73.68,-142.11,-1,-1,-1,HV2Q,HVQ,HV2Y,-1,-1,-1,-1,-1,-5.94,-17.03,-28.57,-46.33,-60,-5.94,-21.34,-23.67,-43.18,-44.72,-37.74,0,0,0,0,0,0,5.53,3.62,0,2.17,-9.36,-24.03,-28.13,-64.79,-78.1,0.868143,4,,,,,,,-9.36,-13.9,-4.25,-31.18,-5.74,0.944248,4
30-10-2025,NSE:VERTOZ,EQ,649.03,68.3,141587,96.70392,3.69,3.64,5,-0.70,-1.9,-0.75,-3.57,-7.72,-29.81,-21.52,-101.17,-263.54,-423.68,-1,-1,HV2Q,HV2Q,-1,-1,-1,-1,-1,-1,-1,-9.02,-28.18,-38.02,-71.03,-84.5,-9.02,-30.4,-35.61,-79.76,-68.83,-43.67,0.31,0.31,0.31,0.31,0.31,0,13.48,6,1.1,0,-12.34,-33.31,-29.12,-111.75,-267.96,0.822476,1,,,,,,,-12.34,-19.33,2.13,-68.77,-73.82,0.901675,1
