Date,Symbol,Series,Mkt Cap (₹ Crore),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
19-11-2025,NSE:MARUTI,EQ,35000,15768,413801,65248.14168,1.63,1.65,4.63,,-1.02,0.46,2.5,-3.44,-4.01,-0.21,10.78,19.85,19.3,29.33,27,-1,-1,HV2Q,HV2Q,-1,-1,-1,-1,-1,-1,-1,-0.12,-0.36,-0.48,-0.41,-0.89,15.93,17.9,0,0,0,0,0,0,-3.99,-3.99,-3.99,-3.99,-3.99,-3.99,0,0,-6.35,-5.71,-17.43,10.88,30.03,46.86,46.86,2.56,33.32,24.17,17.71,18.51,0.88,-5.3,6.7,14.33,6.94,22.74,1.052745,71,-3.99,32.06,11.16,3.54,,,-5.3,11.4,8.65,-7.92,19.02,1.02682,71
19-11-2025,NSE:BAJFINANCE,EQ,45000,1005.6,7459497,75012.70183,1.98,2.19,3.65,,-0.79,-0.76,-5.11,-6.68,-6.41,-0.19,9.98,9.72,18.54,33.99,36.15,-1,-1,-1,-1,-1,HV2Q,-1,-1,-1,-1,-1,-1.9,-0.8,-2.68,0.77,-1.93,9.8,8.73,0,0,0,0,0,0,-8.09,-8.09,-8.09,-8.09,-8.09,-8.09,0,-6.52,-2.62,-3.74,-14.55,14.76,17.89,55.53,57.19,0.04,25.45,10.2,40.57,29.79,5.18,-7.7,5.9,4.2,6.18,27.4,1.043297,68,-6.98,13.6,10.2,40.57,,,-7.7,12.59,-1.81,2.54,25.55,1.032918,77
19-11-2025,NSE:AXISBANK,EQ,45000,1270.4,7029160,89298.44864,1.46,1.49,4.13,M,0.40,3.84,3.45,1.9,5.53,11.37,14.78,5.87,20.7,8.84,12.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,2.11,1.12,3.27,3.65,7.19,4.64,12.41,0,0,0,0,0,0,0,0,0,0,-3.56,0,-1.04,-12.23,-6.37,-23.53,-12.08,21.55,21.55,33.99,33.99,4.39,14.83,9.03,26.13,6.25,13.1,4.24,10.7,0.35,8.34,2.25,1.033862,65,3.62,9.18,7.52,3.7,,,4.24,6.98,-11.97,8.52,-8.37,1.010319,53
19-11-2025,NSE:GODFRYPHLP,EQ,48603.92,2938.3,723698,21264.41833,2.93,2.86,3.94,3L,2.04,-2.49,-2.79,-6.8,-16.11,-21.53,-9.48,2.14,41.85,25.31,62.58,-1,-1,HVQ,EEP,EEP,EEP,-1,-1,-1,-1,-1,-1.4,-2.92,-4.2,-6.97,-10.43,15.04,5.42,0,0,0,0,0,0,-13.68,-20.86,-20.86,-20.86,-20.86,-13.68,-8.11,-11.09,-6,-37.76,-20.06,2.04,10.45,108.18,200.59,2.04,17.76,93.04,103.71,83.95,136.26,-17.4,-13.56,-3.38,29.49,18.72,1.031496,62,-13.68,9.4,76.66,98.6,,,-17.4,2.89,9.11,33.34,-21.85,1.034654,80
19-11-2025,NSE:RELIANCE,EQ,200000,1518.9,10402069,157997.02604,1.33,1.38,5.88,,-0.03,0.49,3.02,2.11,6.72,6.92,9.03,6.21,18.7,16.11,2.63,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,0.83,1.45,2.32,3.73,6.28,3.76,10.44,0,0,0,0,0,0,-0.03,-0.03,-1.47,-1.47,-5.12,-0.03,-4.01,-10.37,-6.66,-22.87,-20.4,12.19,12.19,30.73,30.73,4.87,4.65,18.92,22.61,2.45,0.12,5.43,4.95,0.69,6.34,9.52,1.031116,59,3.55,-4.01,13.58,-2.55,,,5.43,-0.34,-4.61,6.08,3.4,1.011773,59
19-11-2025,NSE:CNXMETAL,IN,,10384.15,,,,,,,0.00,-1.53,-1.11,-2.04,1.78,4.44,9.6,11.83,20.9,12.57,19.38,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-3.65,-3.65,-3.65,-3.65,-3.65,,,,,,,,,,,,,,,,,0.49,5.52,6.31,8.54,5.98,1.030576,,,,,,,,0.49,5.14,0.96,3.05,-3.94,1.009301,
19-11-2025,NSE:LT,EQ,45000,4019.6,1793666,72098.19854,1.55,1.59,7.86,,0.50,1.62,2.37,1.16,4.48,8.31,9.57,11.24,19.4,10.65,8.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,0.93,1.11,2.07,3.55,5.82,6.57,13.26,0,0,0,0,0,0,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.58,-1.59,-9.61,-17.93,-7.85,14.03,17.46,31.61,31.61,3.79,12.19,19.02,16.82,0,9.78,3.19,5.49,5.72,7.04,4.06,1.0296,56,3.79,10.81,10.5,0.64,,,3.19,2.5,0.34,1.96,-4.27,1.007199,50
19-11-2025,NSE:CNXAUTO,IN,,27434.45,,,,,,,0.24,-0.18,3,1.04,0.75,0.51,8.41,14.23,17.72,15.18,22.99,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.18,-0.18,-0.18,-0.18,-0.64,,,,,,,,,,,,,,,,,-0.54,4.33,8.71,5.36,8.59,1.028653,,,,,,,,-0.54,4.9,4.84,-3.17,3.51,1.009917,
19-11-2025,NSE:BANKNIFTY,IN,,59216.05,,,,,,,0.54,1.59,2.35,1.69,2.54,6.29,5.88,7.33,16.57,13.61,19.22,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,1.25,1.8,1.81,4.21,7.02,1.01697,,,,,,,,1.25,0.61,0.03,2.73,3.04,1.007319,
19-11-2025,NSE:CNXINFRA,IN,,9637.4,,,,,,,0.18,0.81,0.89,0.95,3.1,4.29,6.08,7.15,16.68,11.24,13.57,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.25,-0.25,-0.25,-0.25,-0.53,,,,,,,,,,,,,,,,,1.81,2,1.63,4.32,4.65,1.015674,,,,,,,,1.81,0.26,-0.38,3.03,0.06,1.005535,
19-11-2025,NSE:CNXMIDCAP,IN,,60949.05,,,,,,,0.21,0.08,1.5,1.94,3.36,3.45,6.29,7.82,16.51,9.34,19.66,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.38,-0.38,-0.38,-0.38,-0.38,,,,,,,,,,,,,,,,,2.07,2.21,2.3,4.15,2.75,1.015042,,,,,,,,2.07,0.22,0.12,2.18,-2,1.004048,
19-11-2025,NSE:CNXFINANCE,IN,,27643.7,,,,,,,0.35,1.11,1.62,0.69,0.38,3.91,3.74,5.24,16.47,14.76,24.01,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.01,-0.01,-0.01,-0.01,-0.01,,,,,,,,,,,,,,,,,-0.91,-0.34,-0.28,4.11,8.17,1.010417,,,,,,,,-0.91,0.56,0.05,4.61,4.54,1.00762,
19-11-2025,NSE:NIFTYMIDSML400,IN,,20410.25,,,,,,,0.06,-0.29,0.06,0.22,1.59,0.65,3.5,6.3,14.11,4.94,17.3,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.7,-0.7,-0.98,-1.54,-3.41,,,,,,,,,,,,,,,,,0.3,-0.58,0.78,1.75,-1.65,1.000992,,,,,,,,0.3,-0.88,1.39,1.1,-4.09,0.999044,
19-11-2025,NSE:NIFTY,IN,,26052.65,,,,,,,0.55,0.68,1.75,0.45,1.32,2.77,4.51,5.25,11.44,8.33,13.66,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,0,0,0,0,-0.62,,,,,,,,,,,,,,,,,0.03,0.43,-0.27,-0.92,1.74,1.00082,,,,,,,,0.03,0.42,-0.73,-0.71,3.07,1.001291,
19-11-2025,NSE:CNXMNC,IN,,30206.9,,,,,,,0.11,-0.26,-0.15,0.21,0.01,-1.09,3.75,7.8,12.94,5.8,16.62,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.47,-1.23,-1.23,-1.23,-7.8,,,,,,,,,,,,,,,,,-1.28,-0.33,2.28,0.58,-0.79,1.000204,,,,,,,,-1.28,0.93,2.69,-1.66,-1.61,0.999405,
19-11-2025,NSE:CNX500,IN,,23906.3,,,,,,,0.34,0.29,0.97,0.39,1.29,1.93,4.08,5.52,12.36,6.59,14.52,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.2,-0.2,-0.2,-0.2,-2.41,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,1,
19-11-2025,NSE:NIFTY_TOTAL_MKT,IN,,13432.75,,,,,,,0.32,0.26,0.87,0.33,1.26,1.74,3.93,5.42,12.22,6.26,14.56,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.25,-0.25,-0.25,-0.25,-2.64,,,,,,,,,,,,,,,,,-0.03,-0.15,-0.1,-0.14,-0.33,0.999238,,,,,,,,-0.03,-0.11,0.04,-0.05,-0.2,0.999663,
19-11-2025,NSE:HDFCBANK,EQ,120000,994.6,19707885,196014.62421,1.32,1.33,8.13,S,0.22,0.51,0.94,-0.9,-0.8,2.83,-0.72,3.74,14.47,13.62,27.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,0.16,0.46,1.05,1.53,2.95,4.61,0,0,0,0,0,0,-1.41,-1.41,-1.81,-1.81,-1.81,-1.41,-1.02,-1.1,-2.39,-9.1,-3.66,5.3,5.3,22.05,39.55,1.25,6.15,19.47,19.1,21.23,22.43,-2.09,-4.8,-1.78,2.11,7.03,0.998482,53,-0.83,2.44,17.39,19.1,,,-2.09,-2.75,2.92,3.91,5.6,1.004563,47
19-11-2025,NSE:SUNPHARMA,EQ,33000,1784.1,2051984,36609.44654,1.56,1.55,6.11,,1.44,2.91,5.27,5.44,5.89,9.19,8.49,4.28,4.73,-0.94,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.43,1.44,3.93,3,7.14,-1.08,6,0,0,0,0,0,0,0,0,0,-5.6,-8.45,0,-3.15,-11.34,-12.36,-12.78,-7.59,14.12,14.12,14.12,24.78,5.82,7.41,4.23,9.02,18.88,25.95,4.6,4.41,-1.24,-7.63,-7.53,0.997342,50,5.66,-0.86,-3.61,-1.94,,,4.6,-0.06,-6.11,-6.77,0.64,0.994971,35
19-11-2025,NSE:KOTAKBANK,EQ,50000,2105.9,3261696,68688.05606,1.55,1.59,10.92,M,0.61,1.02,0.44,-2.61,-4.74,2.64,4.96,0.75,8.89,18.26,16.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.37,-0.39,-0.03,0.89,0.87,0.86,1.74,0,0,0,0,0,0,-5.38,-5.38,-5.54,-7.18,-7.18,-5.38,0,-11.79,-7.88,-2.12,-11.02,8.41,8.41,24.77,36.15,1.48,13.55,5.17,23.83,24.04,11.3,-6.03,0.88,-4.77,-3.47,11.67,0.997206,47,-4.87,3.05,2.96,19.58,,,-6.03,6.45,-5.94,0.97,16.87,1.01091,56
