Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(50),ADR(20),ATR(20),RPS,CMP,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
17-10-2025,NSE:ARVINDFASN,EQ,7528.57,254640,3.15,3.09,3,506.25,-2.01,0.59,-6.5,-5.49,-11.93,2.59,18,2.97,-23.74,-3.35,-1,-1,EEP,EEP,-1,-1,-1,-1,-1,-1,-1,-10.34,-10.66,-10.66,-20.15,-20.15,-10.34,0,-3.07,-34.53,-22.52,0,2.61,28.77,39.23,39.23,1.56,25.63,35.63,14.16,19.24,52.07,-12.58,1.83,9.88,-6,-23.19,0.980136,56,,,,,,,-12.58,12.86,8.41,-19.25,-17.07,0.990344,48
17-10-2025,NSE:HDFCSML250,EQ,1502.25,1093522,1.61,1.61,6,171.52,-0.58,-0.55,-0.02,-0.24,-2.69,-5.75,9.54,3.63,-7.08,10.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.56,-4.75,-5.44,-7.79,-8.19,-2.56,-2.89,0,-16.95,-11.53,-1.69,3.1,13.12,23.89,24.36,2.22,5.88,31.02,12.08,19.84,33.17,-3.34,-6.51,1.42,-5.34,-6.53,0.980124,55,,,,,,,-3.34,-3.08,7.04,-7.45,-0.66,0.993357,52
17-10-2025,NSE:FMCGIETF,EQ,663.13,1155453,1.2,1.19,3,60.29,1.31,2.59,2.26,2.34,0.27,-0.27,0.88,2.92,-8.58,7.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.23,-1.16,-1.16,-8.23,-13.4,-0.23,-1.43,-1.39,-14.16,-15.93,-5.98,4.07,4.27,12.78,968.12,4.07,4,13.08,11.78,936.94,1059.71,-0.38,-1.03,-7.24,-6.05,-8.03,0.980121,55,,,,,,,-0.38,-0.64,-6.28,1.14,-1.38,0.992909,52
17-10-2025,NSE:DCMSRIND,EQ,1451.46,145630,3.37,3.41,6,173.96,0.10,3.43,-0.89,3.22,2.11,1.9,-1.44,1.13,-11.15,-15.29,-1,-1,-1,HVQ,HV2Y,HV2Y,-1,-1,-1,-1,-1,-1.37,-1.37,-6.37,-17.27,-26.49,-1.37,-2.96,-8.15,-21.54,-27.32,-18.29,11.12,11.12,21.39,21.39,7.66,8.78,19.08,23.14,3.73,16.62,1.46,1.14,-9.56,-7.84,-10.6,0.979993,55,,,,,,,1.46,-0.32,-10.83,1.62,-1.96,0.991869,50
17-10-2025,NSE:ENGINERSIN,EQ,11634.28,2369169,2.61,2.59,3,198.73,-0.52,-2.09,-1.27,-0.06,-5.7,-20.77,8.81,15.39,1.56,-21.04,-1,-1,-1,HV2Q,HV2Q,EEP,-1,-1,-1,-1,-1,-4.32,-17.96,-20.67,-20.67,-31.53,-4.32,-16.15,-4.2,-35.83,-42.07,-32.6,4.42,15.49,35.33,35.33,3.18,10.38,63.44,23.4,3.67,12.14,-6.35,-21.53,0.69,6.42,2.11,0.979963,55,,,,,,,-6.35,-14.37,17.07,6.3,-5.88,1.000633,61
17-10-2025,NSE:PREMIERENE,EQ,47103.67,895152,2.54,2.56,1,1065.7,-0.19,3.95,2.09,1.52,-1.18,-1.37,9.24,-4.72,-6.37,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.19,-3.26,-5.35,-22.41,NA,-0.19,-3.36,-9.52,-29.58,-18.75,NA,8.2,12.81,26.4,NA,5.27,11.39,28.13,15.16,32.87,NA,-1.83,-2.13,1.12,-13.69,-5.82,0.979958,55,,,,,,,-1.83,-0.3,3.04,-16.3,8.88,0.994035,53
17-10-2025,NSE:TIINDIA,EQ,64725.04,340157,2.39,2.37,2,3136.4,-1.34,-0.72,0.01,-2.44,-7.99,6.2,20.42,-5.9,-34.82,-11.83,-1,-1,-1,HVQ,HVQ,-1,-1,-1,-1,-1,-1,-7.48,-7.87,-7.87,-33.5,-33.5,-7.48,-0.51,-14.44,-47.08,-29.58,-6.62,11.68,21.85,27.38,27.38,1.7,20.6,19.49,1.37,2.8,22.38,-8.64,5.44,12.3,-14.87,-34.27,0.979871,55,,,,,,,-8.64,13.03,7.74,-34,-16.86,0.985803,42
17-10-2025,NSE:SINDHUTRAD,EQ,4601.12,3423671,4.75,4.62,2,25.36,0.83,-3.67,-11.28,-9.78,-22.63,-29.93,29.06,14.83,-2.72,-21.85,-1,-1,HVY,HVQ,HVQ,HV2Y,-1,-1,-1,-1,-1,-14.98,-23.22,-29.04,-29.04,-39.47,-14.98,-12.98,-7.81,-35.54,-48.45,-37.83,8.1,42.39,90.25,90.25,0.83,32.57,147.19,34.96,24.64,50.32,-23.28,-30.69,20.94,5.86,-2.17,0.979867,55,,,,,,,-23.28,-6.06,37.98,-20.99,-10.14,1.013532,75
17-10-2025,NSE:STARTECK,EQ,313.17,11984,4.17,4.11,3,300.3,-2.25,-5.71,-3.45,-5.74,-6.24,-1.9,-1.18,2.4,6.91,-5.01,-1,-1,-1,HVQ,HVQ,HV2Y,-1,-1,-1,-1,-1,-7.54,-10.33,-10.33,-10.33,-14.39,-7.54,-4.73,-5.82,-8.31,-16.44,-20.31,0,6.94,12.96,42.86,0,11.24,14.99,21.88,39.44,32.99,-6.89,-2.66,-9.3,-6.57,7.46,0.979663,55,,,,,,,-6.89,3.98,-6.72,2.62,15.08,1.003759,65
17-10-2025,NSE:METROBRAND,EQ,35529.02,81456,3.39,3.36,0,1203.3,-0.55,-1.41,-4.18,-4.43,-9.8,0.17,8.93,-0.61,-0.13,8.29,-1,-1,-1,-1,-1,HV2Y,-1,-1,-1,-1,-1,-8.22,-8.92,-8.92,-8.92,-13.02,-8.22,0,-8.77,-20.78,-12.49,-12.91,9.34,13.67,19,19,1.31,20.05,18.79,8.38,17.68,17.12,-10.45,-0.59,0.81,-9.58,0.42,0.979655,55,,,,,,,-10.45,8.97,1.35,-11.39,10.94,1.000125,60
