Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_1M,HighMomo_10D,6EMA_10D,10EMA_21D,21EMA_50D,50SMA_65D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
21-09-2025,NSE:INDGN,EQ,14093.77,3.4,2.43,586.55,0.10,1.96,4.29,1.22,1.61,9.69,-0.4,-14.74,0,0,-1,-1,-1,-1,-0.51,-5.35,-19.95,8.16,10.92,16.39,-0.24,-0.29,-2.36,-2.06,-12.69,0.986977,41,-0.24,-0.04,-2.14,0.62,-10.5,0.991169,34
21-09-2025,NSE:ADSL,EQ,1130.19,12.47,4.34,198.88,-2.12,16.57,16.97,19.53,10.09,4.19,-27.72,-53.99,0,15.73,-1,-1,-1,-1,-2.12,-9.7,-33.87,27.72,27.72,27.72,18.07,8.19,-7.86,-29.38,-51.94,0.986882,41,18.07,-12.17,-16.91,-21.5,-16.79,0.976643,17
21-09-2025,NSE:BERGEPAINT,EQ,61909.01,4.7,2.43,531.6,-0.70,-1.46,-1.34,-2.24,-0.78,4.89,12.9,-17.6,0,0,-1,-1,-1,-1,-11.42,-11.42,-14.65,1.24,7.72,20.54,-3.7,-2.68,-7.16,11.24,-15.55,0.986512,41,-3.7,0.99,-4.72,20.22,-31.23,0.992348,37
21-09-2025,NSE:DCXINDIA,EQ,3107.68,16.15,3.18,279.3,1.90,1.34,3.97,11.67,-5.28,18.51,-22.4,-18.3,0,0,-1,-1,-1,-1,-5.93,-19.82,-27.19,14.26,28.64,28.64,10.21,-7.18,6.46,-24.06,-16.25,0.986497,41,10.21,-19.63,12.24,-38.39,7.13,0.994754,39
21-09-2025,NSE:TOP10ADD,EQ,733.14,2.56,0.92,96.47,-0.38,1.23,3.08,0.9,-2.79,6.06,0.27,-1.98,0,0,-1,-1,-1,-1,-4.43,-4.43,-11.88,3.18,9.55,10.04,-0.56,-4.69,-5.99,-1.39,0.07,0.986168,41,-0.56,-4.16,-1.74,5.63,1.52,0.997621,43
21-09-2025,NSE:CASHIETF,EQ,808,2.93,0.06,1028.9,0.04,0.1,0.18,0.45,1.26,NA,NA,NA,0,0,0,0,-1,-1,0,NA,NA,1.26,NA,NA,-1.01,-0.64,0,0,0,0.98615,41,-1.01,0.37,89.65,11.8,3.78,1.00105,50
21-09-2025,NSE:PCJEWELLER,EQ,9139.77,685.28,4.19,14.03,-6.09,6.41,5.56,6.99,13.61,-0.36,-36.78,-4.36,0,0,-1,-1,-1,-1,-25.09,-25.09,-26.89,16.63,24.38,31.61,5.53,11.71,-12.41,-38.44,-2.31,0.986106,41,5.53,6.69,-26.52,-24.49,27.48,1.006253,58
21-09-2025,NSE:RAYMONDREL,EQ,4400.86,2.2,3.42,664.65,3.47,7.49,7.57,1.64,NA,NA,NA,NA,0,0,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,0.18,0,0,0,0,0.986079,41,0.18,99.56,-10.35,11.8,3.78,1.001545,51
21-09-2025,NSE:FEDERALBNK,EQ,48669.54,51.64,1.51,197.92,-0.26,1.8,3.74,-0.9,-4.85,8.96,-6.25,6.68,0,0,-1,-1,-1,-1,-9.51,-9.51,-9.51,4.22,6.3,12.13,-2.36,-6.75,-3.09,-7.91,8.73,0.98594,41,-2.36,-4.35,2.82,-4.91,15.95,1.00478,55
21-09-2025,NSE:ADVENZYMES,EQ,3803.96,12.4,3.75,339.55,-0.15,0.25,-0.19,8.53,4.29,20.07,-11.44,-61.95,20.44,0,-1,-1,-1,-1,-5.77,-5.77,-37.16,13.26,25.64,30.67,7.07,2.39,8.02,-13.1,-59.9,0.985549,41,7.07,-5.08,6.14,-27.63,-41.54,0.974736,15
