Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
25-09-2025,NSE:NCC,EQ,13624.27,28.43,2.04,208.37,-1.72,-3.55,0.53,-4.99,-9.13,1.12,-38,-46.66,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-11.68,-14.02,-34.77,0.88,4.51,17.88,-4.86,-7.94,-6.47,-41.05,-43.05,0.928167,13,-5.53,-2.88,0.72,-34.66,0.6,0.970349,12
25-09-2025,NSE:ALLCARGO,EQ,3241.22,34.18,3.35,33.66,2.15,0,6.77,1.4,-5.2,7.99,-52.14,-96.61,0,0,HVQ,0,HV2Y,-1,-1,-1,-1,-1,-12.04,-12.04,-50.76,7.28,22.71,22.71,1.53,-4.01,0.4,-55.19,-93,0.927886,13,0.86,-5.63,3.86,-60.44,-22.35,0.956108,4
25-09-2025,NSE:TEXINFRA,EQ,1216.29,2.04,2.67,94.46,-0.19,-2.09,0.76,-2.58,-9.65,-9.06,-39.5,-31.12,0,0,0,0,0,-1,-1,-1,-1,-1,-7.45,-10.38,-38.07,2.47,4.04,7.47,-2.45,-8.46,-16.65,-42.55,-27.51,0.927536,13,-3.12,-5.83,-8.14,-23,12.88,0.976168,18
25-09-2025,NSE:RAMASTEEL,EQ,1620.03,244.76,3.47,10.14,-0.88,-0.69,-1.08,-1.38,-20.02,-1.08,-20.51,-51.87,0,0,HVQ,0,HV2Y,-1,-1,-1,-1,-1,-16.64,-26.61,-33.9,2.22,10,10,-1.25,-18.83,-8.67,-23.56,-48.26,0.927535,13,-1.92,-17.33,7.1,-14.31,-19.14,0.966874,9
25-09-2025,NSE:UGROCAP,EQ,1973.17,3.38,3.15,167.94,-0.02,-2.24,-5.76,-1.2,-9.54,-3.52,-36.95,-50.98,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-11.62,-13.09,-36.28,0.5,3.5,11.02,-1.07,-8.35,-11.11,-40,-47.37,0.927263,12,-1.74,-7.18,-3.18,-27.38,-3.37,0.96695,9
25-09-2025,NSE:MAHSEAMLES,EQ,8482.15,1.84,2.54,603.7,0.53,-4.56,-5.25,-10.2,-22.01,-17.74,-17.58,-6.23,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-19.96,-19.96,-22.4,1.69,1.69,7.16,-10.07,-20.82,-25.33,-20.63,-2.62,0.926759,12,-10.74,-9.65,-5.18,5.04,16.54,0.988857,34
25-09-2025,NSE:WELSPUNLIV,EQ,11955.84,66.57,3.19,122.19,0.18,-4.8,-2.73,4.54,-14.43,-12.49,-33.68,-45.09,0,HVQ,0,HV2Y,0,-1,-1,-1,-1,-1,-17.06,-21.21,-32.86,9.6,9.6,12.06,4.67,-13.24,-20.08,-36.73,-41.48,0.926665,12,4,-18.81,-6.98,-13.93,-1.66,0.968156,11
25-09-2025,NSE:TVSSCS,EQ,5792.69,7.03,2.97,128.38,-1.28,-4.17,-3.34,-0.48,-6.54,-10.13,-34.9,-52.95,0,HVQ,0,0,HV2Y,-1,-1,-1,-1,-1,-6.27,-10.76,-38.71,4.36,16.63,16.63,-0.35,-5.35,-17.72,-37.95,-49.34,0.926637,12,-1.02,-4.97,-12.05,-17.59,-6.5,0.965714,9
25-09-2025,NSE:RELINFRA,BE,10624.41,13.21,5,257,-2.95,-5.62,-1.77,-7.26,-57.45,6.81,-12.96,-10.85,0,0,HVQ,2,HV2Y,-1,-1,-1,-1,-1,-38.75,-39.39,-39.39,2.02,8.3,22.88,-7.13,-56.26,-0.78,-16.01,-7.24,0.926494,12,-7.8,-45.74,32.13,-16.3,8.74,0.999374,47
25-09-2025,NSE:CENTRALBK,EQ,34576.35,53.5,2.03,37.66,-0.66,-0.42,3.88,5.42,-3.24,-19.89,-46.23,-54.59,0,0,0,0,0,-1,2,-1,-1,-1,-7.86,-16.54,-39.43,8.12,10.16,10.16,5.55,-2.05,-27.48,-49.28,-50.98,0.926123,12,4.88,-8.09,-24.81,-17.06,1.16,0.965897,9
25-09-2025,NSE:SFL,EQ,7422.23,1.37,3.13,689.4,1.67,-1.33,-8.47,-3.04,-10.09,-9.15,-37.37,-34.8,0,0,0,0,0,-1,-1,-1,-1,-1,-9.13,-10.46,-34.6,3.04,9.01,9.01,-2.91,-8.9,-16.74,-40.42,-31.19,0.925913,12,-3.58,-5.78,-7.82,-20.95,8.75,0.973718,16
