Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
02-01-2026,NSE:FSL,EQ,24405.13,340.55,1092905,3721.88798,2.42,2.42,5.81,2L,1.96,-0.62,-0.53,-0.01,-2.22,-4.05,4.2,-7.14,0.09,-10.86,36.04,-1,-1,-1,EP,-1,2,EP,EP,EP,-1,-1,-1,-1,-1,0.16,-0.75,-0.59,-1.44,-2,-1.06,-3.03,0,0,0,0,0,0,0,0,-4.41,-7.26,-9.38,-16.28,-16.28,-4.41,-7.37,-17.35,-10.3,-16.35,-1.6,6.94,6.94,22.06,87.22,3.95,9.31,4.87,30.77,87.05,107.56,-3.81,-0.66,-9.43,-11.36,-18.09,0.963079,46,-2.84,-5.66,-2.38,14.27,,,,-3.81,2.96,-9.13,-2.64,-6.19,0.985805,45
02-01-2026,NSE:MUTHOOTCAP,EQ,452.31,278.8,30420,84.81096,2.79,2.76,4.51,,2.39,1.24,3.34,0.48,1.83,-1.33,0.25,-15.55,11.26,-19.69,-12.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.31,0.19,1.51,-0.09,1.42,-3.17,-1.69,0,0,0,12.7,0,0,0,5.56,-1.88,-5.28,-22.54,-22.54,-29.74,-1.88,-7.02,-22.74,-18.41,-37.65,-15.9,11.03,11.03,12.69,12.69,4.73,9,11.32,30.21,0,22.37,0.24,-4.61,-17.84,-0.19,-26.92,0.963048,46,4.73,-1.28,11.32,-17.04,,,,0.24,-4.93,-13.14,13.82,-30.11,0.985912,45
02-01-2026,NSE:KSB,EQ,13444.53,753.05,123237,928.03623,3.37,3.38,7.6,S,0.91,-0.92,1.65,1.84,-0.69,-4.32,-8,-9.61,5.21,3.19,-24.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.03,0.01,-0.02,-0.6,-0.61,-4.46,-4.85,0,0,0,7.94,0,0,0,3.97,-3.59,-7.47,-14.82,-14.82,-25.24,-3.59,-12.7,-8.01,-9.71,-29.14,-27.63,5.31,5.31,25.7,25.7,4.34,6.03,21.69,37.77,19.15,0,-2.28,-12.86,-11.9,-6.24,-4.04,0.962909,46,-0.39,-10.02,16.59,-7.31,,,,-2.28,-10.58,1.21,4.14,2.63,0.991937,55
02-01-2026,NSE:SMARTEN,SM,138.71,77.85,46104,35.89196,4.6,4.78,3.17,,4.01,2.83,15.16,8.48,7.51,-13.81,-19.85,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.42,1.56,7.09,-4.14,2.83,,,0,0,0,0,0,0,0,0,0,-17.18,NA,NA,NA,0,-26.61,NA,NA,NA,NA,22.41,NA,NA,NA,22.41,5.57,NA,NA,NA,NA,5.92,-24.71,0,0,0,0.962874,46,7.68,-24.17,,,,,,5.92,-32.9,102.7,-9.38,4.77,0.972235,28
02-01-2026,NSE:AEROENTER,EQ,1029.07,87.91,210325,184.89671,4.19,4.17,8.18,,3.50,-1.71,10.8,6.59,3.47,1.48,-0.11,-13.91,8.26,-19.29,-13.18,-1,-1,-1,-1,EP,EP,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,1.73,1.05,2.81,0.13,2.95,-3.85,-0.87,0,0,0,13.49,0,0,0,3.97,-4.79,-5.16,-22.05,-24.9,-40.57,-4.79,-8.45,-21.96,-32.31,-45.48,-29.11,14.12,14.12,14.12,14.12,12.1,10.16,13.84,29.53,1.92,21.66,1.88,-4.97,-16.2,-3.19,-26.52,0.96283,46,3.86,-5.4,5.33,-20.21,,,,1.88,-7.03,-11.08,10.08,-25.26,0.983749,42
02-01-2026,NSE:VISAKAIND,EQ,607.43,72.02,82951,59.74131,3.64,3.6,9.42,,1.80,0.12,10.98,7.6,6.54,-12.43,-8.93,-26.06,20.73,-22.73,-54.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.98,0.84,3.86,-3.77,0.08,-6.58,-6.09,0,0,0,7.94,0,0,0,0.79,0,-16.74,-22.9,-29.55,-40.69,0,-22.18,-16.76,-17.35,-52.99,-27.22,12.34,12.34,26.15,26.15,12.34,0,34.79,59.03,0,0,4.95,-13.79,-28.35,9.28,-29.96,0.962823,46,9.34,-21.64,28.38,-11.97,,,,4.95,-19.87,-13.03,27.74,-50.06,0.994597,58
02-01-2026,NSE:ALLTIME,EQ,1733.01,263.35,157587,415.00536,2.9,2.87,7.98,,0.27,0.34,2.11,-1.8,-5.34,-14.2,-3.65,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.38,-1,-1.37,-4.4,-5.53,,,0,0,0,12.5,0,0,0,5.21,-6.25,-14.7,NA,NA,NA,-6.25,-10.15,NA,NA,NA,NA,2.15,NA,NA,NA,2.15,6.12,NA,NA,NA,NA,-6.93,-8.51,0,0,0,0.962695,46,-6.25,-8.37,,,,,,-6.93,-1.72,102.7,-9.38,4.77,0.986188,45
02-01-2026,NSE:WAAREEENER,EQ,88495.6,2866.3,847394,24288.85422,2.7,2.78,3.98,,-3.01,-6.29,-0.43,-1.02,-8.45,-19.67,-16.25,-3.47,16.11,3.17,NA,-1,-1,-1,2,EP,EP,2,-1,-1,-1,-1,-1,-1,-1,-3.44,-1.3,-4.68,-5.47,-9.62,4.9,-4.96,0,0,9.52,41.27,0,0,0,9.52,-7.44,-20.98,-23.36,-23.36,NA,-7.44,-16.88,-10.9,-18.45,-33.88,NA,0,0,37.02,NA,0,0,59.26,41.77,14.95,NA,-10.04,-21.11,-5.76,4.66,-4.06,0.962533,46,-3.95,-3.58,40.01,,,,,-10.04,-10.51,13.69,9.54,-10.65,0.99349,57
02-01-2026,NSE:WALCHANNAG,EQ,1329.4,187.96,2066865,3884.87945,7.29,7.14,2.93,S,-1.47,-0.74,-5.09,18.33,11.32,6.59,-3.81,-19.94,17.57,-54.47,-24.49,-1,-1,EP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,2.98,3.33,5.88,9.78,-11.99,-1.98,0,0,0,0,0,0,0,0,-5.26,-5.31,-16.61,-35.62,-55.13,-5.26,-23.58,-26.59,-32.3,-63.01,-30.69,27.34,27.34,28.56,28.56,23.91,12.93,23.93,54.2,5.98,56.78,9.73,-8.67,-22.23,6.12,-61.7,0.962453,46,14.34,-9.05,19.94,-25.39,,,,9.73,-20.38,-12.84,21.89,-82.63,0.981336,39
02-01-2026,NSE:SWANCORP,EQ,14478.57,462.85,1397192,6466.90317,3.02,2.98,5.42,,-0.67,-1.09,-1.78,0.72,3.5,-1.93,-0.17,4.86,7.05,-54.39,-32.58,-1,-1,-1,EP,EP,EP,EP,EP,-1,-1,-1,-1,-1,-1,-0.78,0.57,-0.21,0.84,0.63,2.58,3.3,0,0,0,4.76,0,0,0,1.59,-2.94,-3.63,-11.32,-38.69,-41.2,-2.94,-8.68,-11.17,-44.06,-45.35,-9.22,8.5,11.49,20.8,20.8,4.25,4.7,21.01,14.93,9.1,53.59,1.91,-5.03,2.57,-4.4,-61.62,0.962437,46,2.01,-3.09,7.25,-24.31,,,,1.91,-7.13,7.73,-7.08,-61.34,0.967458,22
02-01-2026,NSE:ANDHRSUGAR,EQ,1029.12,75.98,275182,209.08328,2.58,2.54,9.14,,0.08,1.78,1.33,-0.36,-1.57,-5.78,0.45,-9.7,12.16,-23.15,-42.8,-1,-1,-1,-1,-1,-1,EP,EP,EP,-1,-1,-1,-1,-1,0.45,-0.46,-0.01,-2.59,-2.53,1.73,-0.82,0,0,0,12.7,0,0,0,11.9,-1.43,-8.05,-9.42,-23.73,-39.35,-1.43,-6.61,-9.82,-26.32,-46.72,-25.31,2.76,2.8,15.84,15.84,2.76,4.41,12.19,27.08,1.75,0,-3.16,-4.41,-11.99,0.71,-30.38,0.962344,46,0.4,0.1,6.9,-24.41,,,,-3.16,-1.34,-7.49,10.55,-35.43,0.983288,41
