Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
09-12-2025,NSE:JINDRILL,EQ,1680.76,509.1,84591,430.65278,2.25,2.26,5.46,L,0.06,-7.32,-11.77,-15.11,-8.46,-14.31,-19.02,-25.88,-55.43,-61.66,-24.6,-1,-1,-1,-1,-1,HV2Y,-1,-1,-1,-1,-1,-5.31,-2.6,-7.7,-3.09,-10.47,-15.86,-22.73,0,0,0,0,0,0,0,0,-13.7,-16.29,-24.42,-47.57,-47.57,-13.7,-14.05,-36.78,-34,-18.51,-3.62,0.06,0.06,0.06,0.06,0.06,0.91,1.91,9.4,35.26,40.68,-8.12,-21.73,-26.67,-70.73,-63.43,0.874193,9,-8.35,-7.14,-29.98,-4.88,,,-8.12,-12.78,-3.78,-38.11,11.96,0.948733,8
09-12-2025,NSE:EASEMYTRIP,EQ,2814.92,7.73,24565310,1898.89846,4.64,4.52,3.7,,-0.90,-10.48,7.76,1.42,-2.72,-3.23,-10.87,-42.17,-43.47,-111.64,-184.61,HVY,HVY,-1,EEP,EEP,-1,-1,-1,-1,-1,-1,-0.38,0.31,-0.07,-1.57,-1.62,-28.33,-23.34,0,0,0,0,0,0,0,0,-9.48,-12.26,-30.11,-54.72,-67.21,-9.48,-17.81,-36.71,-48.97,-52.96,-30.6,8.72,8.72,8.72,8.72,8.72,1.15,3,0.27,0.45,13.26,-2.38,-13.58,-42.96,-58.77,-113.41,0.874132,9,-2.4,-13.98,-27.25,-43.48,,,-2.38,-10.97,-26.26,-15.54,-31.55,0.937231,5
09-12-2025,NSE:RUPA,EQ,1542.22,162.41,106610,173.1453,3.05,2.99,4.89,L,-0.09,-5.83,-6.59,-19.03,-16.96,-22.52,-28.16,-30.93,-16.74,-62.95,-52.27,-1,-1,-1,HV2Q,-1,-1,-1,-1,-1,-1,-1,-4.34,-4.04,-8.05,-7.63,-14.57,-4.92,-18.58,0,0,0,7.94,0,0,0,1.59,-18.9,-22.48,-29.3,-42.64,-53.95,-18.9,-10.96,-9.39,-34.12,-46.24,-24.96,0,0,0,0,0,0.48,19.1,21.67,1.88,12.76,-16.62,-30.87,-31.72,-32.04,-64.72,0.873937,9,-18.9,-7.52,7.92,-34.12,,,-16.62,-12.62,-0.18,-3.79,-23.61,0.952309,10
09-12-2025,NSE:TRENT,EQ,156450.03,4085.4,919434,37562.55664,1.76,1.74,3.06,2L,-0.12,-3.45,-3.88,-7.06,-4.85,-13,-30.11,-44.75,-22.38,-67.03,4.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.59,-2.41,-4.88,-5.49,-9.83,-13.49,-20.55,0,0,0,1.59,0,0,0,1.59,-7.25,-21.71,-34.34,-44.2,-50.39,-7.25,-22.52,-14.58,-28.19,-39.29,-17.14,0,0,0,4.97,0,0,15.05,27.99,29.02,76.09,-4.51,-32.82,-45.54,-37.68,-68.8,0.873861,9,-5.34,-19.23,4.1,-17.18,,,-4.51,-27.13,-9.27,0.82,-20.51,0.950897,9
09-12-2025,NSE:KAMDHENU,EQ,768.69,25.12,960528,241.28463,3.33,3.25,5.23,L,0.72,-4.22,-3.18,-7.84,-15.61,-11.23,-14.01,-33.12,-23.21,-99.8,-115.55,-1,HVQ,HVQ,-1,HVQ,HVQ,-1,-1,-1,-1,-1,-2.41,-2.03,-4.35,-3.51,-7.59,-7.75,-14.24,0,0,0,0,0,0,0,0,-10.51,-14.82,-26.03,-51.7,-60.93,-10.51,-2.88,-19.78,-47.99,-51.87,-21.94,0.72,0.72,0.72,0.72,0.72,10.04,11.7,30.42,6.28,13.17,-15.27,-16.72,-33.91,-38.51,-101.57,0.873774,9,-9.38,-1.46,-15.81,-41.49,,,-15.27,-1.66,-14.78,-7.18,-46.19,0.944496,7
09-12-2025,NSE:SURAJEST,EQ,1361.54,266.1,346411,921.79967,3.5,3.52,5.27,L,0.38,-7.22,0.62,-5.05,-7.37,-4.72,-14.77,-45.1,-13.77,-154.6,-17.61,-1,-1,EEP,-1,HV2Q,-1,-1,-1,-1,-1,-1,-3.23,-0.76,-3.96,-0.87,-4.79,-9.74,-13.24,0,0,0,0.79,0,0,0,0,-8.32,-11.9,-29.39,-60.9,-67.46,-8.32,-14.27,-20.9,-51.81,-62.98,-17.16,0.62,0.62,0.62,0.62,0.62,6.29,11.18,40.55,16.09,159.78,-7.03,-17.48,-45.89,-29.07,-156.37,0.873736,9,-6.2,-0.68,-5.04,-49.84,,,-7.03,-9.94,-24.44,6.96,-107.81,0.941591,6
09-12-2025,NSE:IONEXCHANG,EQ,5435.46,361.35,133799,483.48269,2.75,2.72,3.94,2L,7.87,5.52,4.28,-0.86,-2.85,-8.37,-15.51,-51.67,-34.3,-92.03,-43.41,HVQ,HVQ,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.95,-2.29,1.63,-6.74,-4.79,-23,-22.59,0,0,0,0,0,0,0,0,-2.75,-15.85,-36.37,-50.44,-50.65,-2.75,-18.83,-26.55,-24.84,-33.72,-5.22,7.87,7.87,7.87,7.87,7.87,0,0.04,20.54,10.23,57.61,-2.51,-18.22,-52.46,-49.6,-93.8,0.873385,9,-1.9,-18.83,-16.74,-17.28,,,-2.51,-15.35,-29.32,-3.18,-27.01,0.944637,7
09-12-2025,NSE:RAJOOENG,EQ,1456.2,66,701259,462.83094,4.51,4.39,4.02,M,-0.92,-9.03,-10.18,-20.89,-27.91,-31.67,-45.79,-92.41,NA,NA,NA,-1,-1,-1,HV2Y,-1,-1,-1,-1,-1,-1,-1,-6.42,-5.58,-11.37,-10.26,-19.62,,,0,0,0,0,0,0,0,0,-21.14,-33.68,-53.95,NA,NA,-21.14,-21.83,-32.87,NA,NA,NA,0,0,NA,NA,0,3.1,0,NA,NA,NA,-27.57,-48.5,-93.2,0,0,0.873181,9,-21.14,-17.97,,,,,-27.57,-17.02,-30,85.37,15.97,0.930182,3
09-12-2025,NSE:MANYAVAR,EQ,15200.13,610.05,172344,1051.38457,2.26,2.28,7.51,2L,3.64,0.82,-0.3,-1.48,-3.13,-11.65,-19.92,-31.75,-34.34,-121.11,-57.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.73,-1.75,-1.01,-5.55,-6.21,-14.62,-18.17,0,0,0,0,0,0,0,0,-3.11,-18.75,-26.28,-55.71,-57.46,-3.11,-19.24,-12.89,-43.96,-42.86,-5.95,3.64,3.64,3.64,3.64,3.64,0,1.18,11.16,0,51.61,-2.79,-22.63,-32.54,-49.64,-122.88,0.872659,9,-1.89,-14.06,-12.33,-37.19,,,-2.79,-19.32,-7.89,-16.6,-48.62,0.933693,4
09-12-2025,NSE:ASMS,BE,389.86,11.42,115139,13.14887,4.33,4.27,5.82,3L,2.98,-1.66,-4.2,-9.19,-11.82,-17.16,-32.22,-24.78,-18.13,-85.73,-59.81,-1,-1,HV2Q,HV2Q,-1,HVQ,-1,-1,-1,-1,-1,-1.6,-3.83,-5.23,-7.7,-12,-9.25,-19.46,0,0,4.76,2.38,0,0,0,0,-11.95,-32.39,-32.39,-52.34,-54.41,-11.95,-24.39,-18.77,-42.49,-46.15,-15.33,2.98,2.98,2.98,2.98,2.98,6.68,26.15,6.42,0.75,35.35,-11.48,-34.93,-25.57,-33.43,-87.5,0.872649,9,-11.95,0.79,2.44,-17.25,,,-11.48,-21.29,7.61,-9.3,-41.26,0.944244,6
