Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Off_3M_peak,Off_6M_peak,Off_12M_peak,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
14-09-2025,NSE:PRESTIGE,EQ,67275.75,6,2.59,1549.7,2.53,-0.78,-5.23,-6.87,27.47,-12.96,-16.22,-14.2,-14.2,-19.18,-7.91,-8.09,14.86,-12.42,-14.88,0.982523,43,-7.91,-0.05,20.61,-40.71,-2.09,0.99892,49
14-09-2025,NSE:HAVELLS,EQ,95680.34,9.34,1.83,1572.6,-0.63,2.99,6.85,2.00,6.58,-8.67,-20.34,-0.91,-5.53,-24.48,4.17,0.78,-6.03,-8.13,-19,0.982392,43,4.17,-3.71,-6.85,-1.29,-9.93,0.986801,33
14-09-2025,NSE:IIFLCAPS,EQ,9159.84,3.31,3.93,293.1,-2.00,-0.96,-3.62,-14.52,30.08,-25.04,-2.44,-18.23,-18.23,-34.07,-6.3,-15.74,17.47,-24.5,-1.1,0.982249,42,-6.3,-9.02,27.42,-63.78,18.88,1.016543,71
14-09-2025,NSE:GSFC,EQ,7879.89,14.67,2.84,203.32,-5.15,2.80,-0.31,-0.06,12.69,-8.56,-11.19,-6.61,-6.61,-11.21,-2.99,-1.28,0.08,-8.02,-9.85,0.98194,42,-2.99,1.75,1.22,-9.3,-1.62,0.99285,41
14-09-2025,NSE:RELAXO,EQ,11924.16,5.01,3.92,489.35,-1.60,2.40,11.44,13.83,13.80,-33.64,-68.24,-5.69,-5.69,-41.65,8.76,12.61,1.19,-33.1,-66.9,0.981929,42,8.76,4.2,-11.56,-40,-25.1,0.972168,16
14-09-2025,NSE:SIEMENS,EQ,109015.61,3.65,2.35,3202,3.53,4.32,2.09,-1.81,19.32,-27.97,-6.37,-4.58,-5.36,-22.8,-0.59,-3.03,6.71,-27.43,-5.03,0.981915,42,-0.59,-2.48,9.23,-43.58,17.68,1.00273,55
14-09-2025,NSE:HINDZINC,EQ,177252.13,29.17,2.19,462.95,4.94,9.44,8.53,-11.08,7.88,-7.67,-3.70,-9.75,-13.31,-17.39,5.85,-12.3,-4.73,-7.13,-2.36,0.981908,42,5.85,-19.94,5.55,-1.84,4.48,0.996875,46
14-09-2025,NSE:WALCHANNAG,BE,1184.51,1.31,4.53,213.79,15.67,18.49,13.71,-13.09,25.08,-18.18,-45.77,-11.9,-19.57,-35.8,11.03,-14.31,12.47,-17.64,-44.43,0.981825,42,11.03,-29.56,22.23,-42.7,-22.55,0.987645,34
14-09-2025,NSE:MADRASFERT,EQ,1401.58,2.87,3.49,90.49,-2.22,3.87,0.98,-2.70,18.62,-14.00,-14.65,-4.2,-8.85,-16.56,-1.7,-3.92,6.01,-13.46,-13.31,0.98179,42,-1.7,-2.22,9.24,-25.05,0.23,0.993265,42
14-09-2025,NSE:AFCONS,EQ,15367.88,10.8,2.44,448.75,2.17,6.90,5.86,1.76,-2.86,-18.96,5.07,-1.27,-8.36,-17.74,3.18,0.54,-15.47,-18.42,6.41,0.981784,42,3.18,-2.86,-16.23,-0.61,21,1.004813,58
14-09-2025,NSE:RITES,EQ,11717.12,6.26,2.69,267.9,2.13,8.94,7.09,-8.17,19.69,-11.09,-25.56,-9.22,-13.36,-28.22,4.41,-9.39,7.08,-10.55,-24.22,0.981691,42,4.41,-14.93,14.24,-23.28,-12.23,0.988424,35
14-09-2025,NSE:PATANJALI,EQ,64457.45,13.43,1.82,592.7,-0.62,0.03,-2.32,5.91,1.49,-3.95,-8.22,-8.44,-11.13,-11.13,-5,4.69,-11.12,-3.41,-6.88,0.981474,42,-5,9.54,-16.22,9.52,-3.31,0.995682,45
14-09-2025,NSE:M&MFIN,EQ,35284.42,16.33,2.48,271.35,0.76,6.41,5.31,0.31,2.42,-2.03,-16.35,-0.75,-4.85,-18.09,2.63,-0.91,-10.19,-1.49,-15.01,0.981431,42,2.63,-3.77,-9.41,10.48,-13.24,0.988635,35
14-09-2025,NSE:ALPHA,EQ,688.59,10.38,2.02,49.24,1.34,4.18,2.88,-1.12,15.43,-15.33,-14.62,-4.61,-4.61,-17.35,0.2,-2.34,2.82,-14.79,-13.28,0.98125,42,0.2,-2.62,4.85,-21.34,1.42,0.992063,40
14-09-2025,NSE:RPPINFRA,EQ,658.8,5.33,7.81,147,1.59,10.56,21.79,6.33,6.06,-46.04,-48.59,-6.82,-15.73,-39.88,19.11,5.11,-6.55,-45.5,-47.25,0.980958,41,19.11,-18.27,-11.8,-40.42,-0.94,0.980502,25
14-09-2025,NSE:MAHABANK,EQ,39996,45.04,1.92,54.05,2.70,3.89,-3.02,-0.65,11.79,-5.12,-9.32,-7.34,-7.34,-14.37,-5.7,-1.87,-0.82,-4.58,-7.98,0.980722,41,-5.7,3.8,0.83,-4.13,-3.2,0.993704,42
14-09-2025,NSE:PEL,EQ,25317.63,3.3,3.36,1083.7,-0.03,-3.37,-4.09,-4.51,16.86,-16.72,1.92,-19.08,-19.08,-19.08,-6.77,-5.73,4.25,-16.18,3.26,0.98054,41,-6.77,1.09,8.93,-25.35,16.77,1.005192,58
14-09-2025,NSE:BLKASHYAP,EQ,1566.81,4.3,3.8,67.81,-1.39,-2.86,-1.03,-1.61,28.14,-10.18,-55.18,-14.18,-14.18,-36.24,-3.71,-2.83,15.53,-9.64,-53.84,0.980417,41,-3.71,0.93,17.75,-38.27,-40.05,0.981111,26
14-09-2025,NSE:FINOPB,EQ,2371.72,3.07,4.12,279.7,3.40,-0.45,11.80,-1.32,20.55,-24.94,-48.43,-8.49,-8.49,-35.74,9.12,-2.54,7.94,-24.4,-47.09,0.979961,41,9.12,-13.37,10.07,-42.21,-18,0.979956,24
