Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
07-09-2025,NSE:JAGSNPHARM,EQ,1554.96,1.46,3.91,240.31,2.69,-15.83,3.66,15.58,-18.86,32.61,-15.96,5.13,2.74,-18.02,36.69,1.01850042193589,61
07-09-2025,NSE:LOWVOLIETF,EQ,3764.15,12.72,2.35,22.48,0.89,2.80,3.96,13.08,5.03,-0.67,2.67,5.43,0.24,5.87,3.41,1.0183362656281048,61
07-09-2025,NSE:DOMS,EQ,14762.26,4.39,3.61,2646.4,8.11,8.33,8.59,10.73,-9.63,-0.44,8.2,10.06,-2.11,-8.79,3.64,1.0178922160690609,61
07-09-2025,NSE:DABUR,EQ,92506.81,33.36,2.41,546.7,4.68,4.02,11.97,10.05,4.42,-16.45,3.89,13.44,-2.79,5.26,-12.37,1.0177504719471915,61
07-09-2025,NSE:PCJEWELLER,EQ,8613.74,451.67,3.91,13.25,1.06,-8.23,10.57,19.55,-26.23,18.46,-8.36,12.04,6.71,-25.39,22.54,1.0176069786814228,61
07-09-2025,NSE:SSWL,EQ,3395.1,2.22,2.93,225.03,3.95,1.98,-8.19,22.85,7.41,-1.16,1.85,-6.72,10.01,8.25,2.92,1.0174129499989322,61
07-09-2025,NSE:NSLNISP,EQ,11063.04,156.39,4.54,42.46,10.93,14.15,7.14,18.94,-13.64,-25.44,14.02,8.61,6.1,-12.8,-21.36,1.0172346688306737,61
07-09-2025,NSE:GROWWEV,EQ,271.47,2.76,2.52,30.89,3.69,5.34,4.60,17.71,-0.68,-9.78,5.21,6.07,4.87,0.16,-5.7,1.0169258300474373,61
07-09-2025,NSE:ZYDUSLIFE,EQ,98912.8,11.53,2.34,1013.85,3.24,5.29,5.30,14.14,3.13,-9.64,5.16,6.77,1.3,3.97,-5.56,1.0169107958055108,61
07-09-2025,NSE:TANLA,EQ,8214.98,4.74,2.76,658.65,6.16,-2.04,5.44,35.31,-8.21,-39.43,-2.17,6.91,22.47,-7.37,-35.35,1.0168992202200968,61
07-09-2025,NSE:OLAELEC,EQ,24003.74,4561.72,8.18,59.92,9.80,31.79,18.78,8.01,-64.45,-91.81,31.66,20.25,-4.83,-63.61,-87.73,1.0168772311965357,61
07-09-2025,NSE:BIOCON,EQ,46439.43,26.4,2.72,363.7,4.22,-2.38,9.25,16.13,-2.79,0.08,-2.51,10.72,3.29,-1.95,4.16,1.0166426005391442,61
07-09-2025,NSE:JSFB,EQ,5184.52,2.03,3.02,488.3,-0.48,4.41,0.09,14.52,15.42,-20.85,4.28,1.56,1.68,16.26,-16.77,1.0160615586265527,60
07-09-2025,NSE:HDFCBANK,EQ,1463857.94,154.16,1.3,963.4,1.22,-2.64,-2.69,11.69,5.22,15.56,-2.77,-1.22,-1.15,6.06,19.64,1.01602873158435,60
07-09-2025,NSE:SAKSOFT,EQ,2819.37,4.96,4.26,210.75,-0.63,3.16,6.80,24.12,-12.55,-11.49,3.03,8.27,11.28,-11.71,-7.41,1.0158376099972084,60
07-09-2025,NSE:MPHASIS,EQ,52916.87,4.14,2.61,2797.4,0.34,3.30,9.02,19.02,-7.92,-10.91,3.17,10.49,6.18,-7.08,-6.83,1.0156977791668,60
07-09-2025,NSE:WELCORP,EQ,22107.39,3.42,2.59,849.15,0.79,-3.14,-13.80,17.81,7.58,17.78,-3.27,-12.33,4.97,8.42,21.86,1.015680090056814,60
07-09-2025,NSE:MUNJALAU,EQ,868.3,5.49,4.91,88.73,2.45,16.80,7.64,21.39,-22.10,-37.24,16.67,9.11,8.55,-21.26,-33.16,1.0155125984885065,60
07-09-2025,NSE:IFBIND,EQ,5967.61,1.43,4.33,1512.2,3.02,13.03,-1.49,28.93,-18.20,-27.50,12.9,-0.02,16.09,-17.36,-23.42,1.0151675549917798,60
07-09-2025,NSE:HARIOMPIPE,EQ,1491.07,5.81,4.51,485.25,0.44,8.02,12.56,29.90,-16.49,-70.28,7.89,14.03,17.06,-15.65,-66.2,1.01513994456535,60
07-09-2025,NSE:ALKEM,EQ,63411.3,2.08,2.17,5333.5,0.56,7.73,8.83,13.75,-5.70,-13.88,7.6,10.3,0.91,-4.86,-9.8,1.0149802790938076,60
07-09-2025,NSE:ICICIBANK,EQ,996963.66,76.12,1.13,1402.8,0.36,-2.97,-4.06,14.01,6.73,12.32,-3.1,-2.59,1.17,7.57,16.4,1.0149478213273926,60
07-09-2025,NSE:APTUS,EQ,15921.38,33.04,3,338.05,6.05,-1.41,6.35,7.78,4.63,4.90,-1.54,7.82,-5.06,5.47,8.98,1.0145355806609984,60
07-09-2025,NSE:BRIGHOTEL,EQ,3300.83,18.87,4.05,84.49,-3.09,4.88,4.01,4.01,4.01,4.01,4.75,5.48,-8.83,4.85,8.09,1.0143928244359124,60
07-09-2025,NSE:DATAPATTNS,EQ,13419.36,2.56,3.92,2476.8,2.99,-7.45,-23.72,42.11,-1.77,-11.09,-7.58,-22.25,29.27,-0.93,-7.01,1.0143017294829233,59
07-09-2025,NSE:NMDC,EQ,60531.66,190.99,2.28,74.53,7.69,3.50,2.74,15.39,-5.41,3.21,3.37,4.21,2.55,-4.57,7.29,1.014280023768295,59
07-09-2025,NSE:ADVENZYMES,EQ,3837.52,12.93,4.36,340.2,-1.69,5.67,10.76,21.36,-9.67,-28.75,5.54,12.23,8.52,-8.83,-24.67,1.0141956935516068,59
07-09-2025,NSE:MODISONLTD,EQ,506.87,1.52,4.69,162.69,4.28,-1.59,0.15,25.61,-7.97,-0.10,-1.72,1.62,12.77,-7.13,3.98,1.0141439089342232,59
07-09-2025,NSE:NITCO,EQ,2636.02,2.35,5.65,118.7,4.09,-4.30,-17.19,15.82,-6.15,30.99,-4.43,-15.72,2.98,-5.31,35.07,1.013873875321673,59
07-09-2025,NSE:CSBBANK,EQ,6336.57,7.77,4.66,357.95,-1.30,-19.49,-3.80,21.72,14.32,8.66,-19.62,-2.33,8.88,15.16,12.74,1.0133690838748146,59
07-09-2025,NSE:BFSI,EQ,412.11,2.23,2.39,26.78,1.23,-1.61,-3.02,12.06,7.13,9.30,-1.74,-1.55,-0.78,7.97,13.38,1.0130839572621042,59
07-09-2025,NSE:NESTLEIND,EQ,222566.04,14.97,2.27,1208.5,4.33,6.19,-0.01,9.58,6.43,-3.84,6.06,1.46,-3.26,7.27,0.24,1.013061286726713,59
07-09-2025,NSE:APLAPOLLO,EQ,44421.76,3.99,2.19,1664.7,3.60,3.68,-15.39,14.22,6.48,13.76,3.55,-13.92,1.38,7.32,17.84,1.0129502088194449,59
07-09-2025,NSE:MANKIND,EQ,102121.47,5.44,2.47,2550.6,3.11,-2.68,7.77,8.70,-0.33,6.25,-2.81,9.24,-4.14,0.51,10.33,1.0126467888025996,59
07-09-2025,NSE:GODREJIND,EQ,41426.79,2.27,3.18,1201.9,-2.35,5.32,-13.11,8.19,10.23,11.67,5.19,-11.64,-4.65,11.07,15.75,1.0125538125632878,59
07-09-2025,NSE:AUBANK,EQ,53563.9,25.7,2.56,694.3,-3.42,-6.96,-7.96,19.69,14.32,1.94,-7.09,-6.49,6.85,15.16,6.02,1.0125391916475206,59
07-09-2025,NSE:MAHLOG,EQ,3142.54,1.66,2.91,320.7,1.20,1.82,6.39,30.26,-10.72,-36.85,1.69,7.86,17.42,-9.88,-32.77,1.0124810883199993,58
07-09-2025,NSE:SAMMAANCAP,EQ,10288.21,176.53,4.41,137.79,10.04,8.86,8.16,20.95,-21.69,-16.80,8.73,9.63,8.11,-20.85,-12.72,1.0124028180643547,58
07-09-2025,NSE:SAIL,EQ,49029.34,81.75,2.35,129.26,8.20,3.17,-4.47,17.72,5.01,-3.02,3.04,-3,4.88,5.85,1.06,1.0123178514976432,58
07-09-2025,NSE:POLICYBZR,EQ,81747.8,11.29,3.1,1822.5,2.84,4.09,-5.17,20.34,-5.69,4.01,3.96,-3.7,7.5,-4.85,8.09,1.012265071113674,58
07-09-2025,NSE:DMCC,EQ,773.26,1.82,4.91,308.2,-1.49,1.48,13.37,6.47,-21.16,9.62,1.35,14.84,-6.37,-20.32,13.7,1.0122482889469293,58
07-09-2025,NSE:ARKADE,EQ,3211.05,9.45,3.22,179.78,3.65,-5.38,-9.23,25.18,5.78,2.66,-5.51,-7.76,12.34,6.62,6.74,1.0122463743263834,58
07-09-2025,NSE:BIRLAMONEY,EQ,1010.5,1.31,3.89,178.02,-1.04,-2.31,-10.86,22.38,-1.12,12.31,-2.44,-9.39,9.54,-0.28,16.39,1.012050013688808,58
07-09-2025,NSE:DPWIRES,EQ,345.66,2.21,7.41,271.91,17.98,21.55,13.04,16.17,-41.02,-49.70,21.42,14.51,3.33,-40.18,-45.62,1.0119407206434403,58
07-09-2025,NSE:GOCLCORP,EQ,1764.53,2.01,4.71,359.55,1.14,2.02,12.07,23.00,-10.03,-32.29,1.89,13.54,10.16,-9.19,-28.21,1.0119182119672234,58
07-09-2025,NSE:INDHOTEL,EQ,108145.26,24.82,2.11,774.75,2.10,3.06,-0.27,6.20,-4.12,15.34,2.93,1.2,-6.64,-3.28,19.42,1.0118447177321028,58
07-09-2025,NSE:GSFC,EQ,7879.89,24.82,3.23,213.79,7.56,3.48,1.96,21.78,-4.77,-11.87,3.35,3.43,8.94,-3.93,-7.79,1.0117668483785405,58
07-09-2025,NSE:CGCL,EQ,17800.83,26.17,2.82,184.48,-0.48,-1.23,17.58,12.36,-12.96,-12.55,-1.36,19.05,-0.48,-12.12,-8.47,1.011427216534394,58
