Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
26-09-2025,NSE:XTGLOBAL,EQ,560.96,3.11,10.19,39.69,1.46,-4.06,3.28,13.48,14.84,6.05,-6.05,-25.85,HV2Y,HV2Q,HV2Q,HVQ,HV2Y,HV2Y,-1,-1,-1,-1,-1,-11.03,-11.03,-21.78,27.25,27.25,30.17,12.72,18.83,0.43,-7.42,-18.51,1.029124,68,12.72,6.35,-19.57,-8.37,-9.85,0.997184,47
26-09-2025,NSE:SCI,EQ,10228.01,44.8,2.79,225.45,-3.19,2.6,4.93,5.29,-0.71,22.33,6.88,-18.54,0,0,EEP,EEP,EEP,EEP,-1,-1,-1,-1,-1,-3.19,-4.19,-16.61,11.82,43.47,56.93,4.53,3.28,16.71,5.51,-11.2,1.02863,68,4.53,-1.55,13.63,-15.38,-18.48,1.000592,51
26-09-2025,NSE:RUCHIRA,EQ,507.07,3.04,4.13,141.22,-3.60,-20.4,-6.11,-2.47,1.14,15.84,7.01,5.57,0,HVY,HVY,HVQ,HVQ,HVQ,-1,-1,-1,-1,-1,-16.94,-16.94,-16.94,5.89,24.52,25.92,-3.23,5.13,10.22,5.64,12.91,1.028542,68,-3.23,8.3,5.63,-5.99,7.27,1.013153,68
26-09-2025,NSE:PNB,EQ,130272.51,129.8,1.97,107.79,-3.24,-5.11,0.45,5.88,1.35,12.97,5.71,-3.45,0,0,0,0,0,0,-1,-1,-1,-1,-1,-6.25,-6.25,-6.25,6.85,17.98,24.04,5.12,5.34,7.35,4.34,3.89,1.027976,68,5.12,-0.04,2.54,-3.85,-0.89,1.006105,59
26-09-2025,NSE:ADANIENSOL,EQ,105586.74,25.19,2.99,879.2,-1.68,0.23,5.61,12.31,-0.51,7.13,12.27,-16.69,EEP,0,0,0,EEP,EEP,-1,3,-1,-1,-1,-6.21,-8.58,-18.31,16.3,16.3,46.35,11.55,3.48,1.51,10.9,-9.35,1.027768,68,11.55,-9.84,-1.64,10.04,-24.2,1.00102,51
26-09-2025,NSE:ERIS,EQ,22488.86,1.4,2.41,1585.5,-2.50,-3.41,-5.7,-13.06,-5.7,14.47,15.34,16.46,0,0,0,EEP,EEP,EEP,-1,-1,-1,-1,-1,-12.72,-14.19,-14.19,0,24.39,37.5,-13.82,-1.71,8.85,13.97,23.8,1.026893,68,-13.82,11.29,9.84,5.51,10.13,1.022629,75
26-09-2025,NSE:BANKBARODA,EQ,130323.5,92.12,1.82,248.45,-1.73,-1.46,4.42,6.12,2.87,10.22,1.41,1.59,0,0,0,0,0,EEP,-1,-1,-1,-1,-1,-2.33,-2.48,-6.1,6.71,14.35,26.82,5.36,6.86,4.6,0.04,8.93,1.026882,68,5.36,1.31,-1.67,-5.31,9,1.009196,63
26-09-2025,NSE:ARVINDFASN,EQ,7528.57,2.84,2.67,518.75,-2.86,-8.85,-6.67,0.99,6.96,22.45,-1.2,-17.21,0,0,EEP,0,0,0,-1,-1,-1,-1,-1,-8.45,-8.45,-18.18,15.01,42.67,42.67,0.23,10.95,16.83,-2.57,-9.87,1.026506,68,0.23,10.81,7.41,-25.99,-7.01,1.00176,53
26-09-2025,NSE:KAJARIACER,EQ,19176.38,1.58,2.43,1182.8,-0.92,-1.88,-3.63,-3.26,7.95,24.7,4.51,-27.72,0,0,0,0,0,0,-1,-1,-1,-1,-1,-9.65,-9.65,-23.59,10.07,51.75,51.75,-4.02,11.94,19.08,3.14,-20.38,1.026026,68,-4.02,15.64,8.96,-22.32,-24.94,0.999007,49
26-09-2025,NSE:UPL,EQ,58357.27,24.03,2.47,648,-3.15,-6.65,-6.96,-10.6,0.48,-0.77,22.15,12.25,0,0,EEP,0,0,0,-1,-1,-1,-1,-1,-11.21,-11.21,-11.21,0,5.49,31.14,-11.36,4.47,-6.39,20.78,19.59,1.025933,68,-11.36,14.8,-10.5,27.24,-3.89,1.023985,76
26-09-2025,NSE:SMARTWORKS,EQ,6220.16,2.32,4.2,575.75,0.28,5.22,10.35,15.64,NA,NA,NA,NA,0,0,0,0,0,0,NA,-1,-1,0,-1,NA,NA,NA,NA,NA,NA,14.88,0,0,0,0,1.025797,68,14.88,104.78,-9.24,4.5,8.82,1.029039,80
