Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1d,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
16-09-2025,NSE:WELCORP,EQ,22107.39,4.03,2.84,905.35,,2.23,8.95,2.55,-0.91,9.38,11.92,24.58,-3.85,-6.31,-6.31,9.83,24.53,37.64,-0.4,-2.57,-3.91,11.44,25.27,1.027732,65,-0.4,-2.22,-1.62,17.57,15.55,1.022232,74
16-09-2025,NSE:ASIANENE,EQ,1663.59,4.95,5.43,349.65,,-6.82,-1.96,4.68,11.95,30.63,-8.89,-10.64,-9.42,-9.42,-15.17,22.86,61.17,61.17,1.73,10.29,17.34,-9.37,-9.95,1.027628,65,1.73,8.97,9.39,-42.21,-0.42,1.005313,57
16-09-2025,NSE:PANACEABIO,EQ,2562.12,1.72,3.83,434.5,,3.53,6.26,3.28,-0.66,9.52,-7.12,35.09,-0.7,-23.26,-23.26,11.73,11.73,58.94,0.33,-2.32,-3.77,-7.6,35.78,1.027594,65,0.33,-2.74,-1.71,-3.62,40.58,1.042532,87
16-09-2025,NSE:RHFL,BE,232.59,21.87,4.5,4.73,,0.63,-5.71,3.38,-54.55,31.92,27.48,14.59,-33.94,-39.2,-39.2,12.35,59.26,120,0.43,-56.21,18.63,27,15.28,1.027513,65,0.43,-58.63,44.13,8.25,-16.6,1.050136,90
16-09-2025,NSE:SBILIFE,EQ,181127.22,8.29,1.81,1818.8,,0.72,0.24,-1.20,1.02,22.53,21.24,-2.22,-3.12,-3.12,-5.28,2.13,31.27,31.27,-4.15,-0.64,9.24,20.76,-1.53,1.027477,65,-4.15,3.52,9.91,13.1,-28.6,1.005204,57
16-09-2025,NSE:VISHNU,EQ,3316.62,1.21,3.31,503.5,,5.36,1.83,4.89,-11.42,10.81,19.81,22.09,-11.58,-11.62,-11.62,5.82,34.02,38.25,1.94,-13.08,-2.48,19.33,22.78,1.027348,65,1.94,-15.81,8.14,24.86,4.02,1.020155,72
16-09-2025,NSE:SAIL,EQ,49029.34,82.46,2.22,132.94,,2.63,7.41,9.46,4.54,19.77,2.77,4.49,-3.3,-3.3,-5.96,12.03,27.06,32.91,6.51,2.88,6.48,2.29,5.18,1.026831,65,6.51,-4.1,4.14,-6.42,2.95,1.007507,60
16-09-2025,NSE:HAL,EQ,290448.98,13.54,1.96,4840,,7.98,8.03,5.89,-4.28,29.43,3.71,4.98,-3.74,-5.61,-5.61,11.71,42.51,56.73,2.94,-5.94,16.14,3.23,5.67,1.026748,65,2.94,-9.48,20.51,-21.69,2.51,1.013286,67
16-09-2025,NSE:FILATEX,EQ,2293.4,8.75,3.22,56.97,,2.51,6.34,8.44,7.44,35.33,-20.91,-11.73,-8.67,-8.67,-20.15,12.74,60.3,60.3,5.49,5.78,22.04,-21.39,-11.04,1.026654,65,5.49,0.24,18.31,-72.2,8.77,1.011599,65
16-09-2025,NSE:HDFCLIFE,EQ,166917.86,26.67,2,774.35,,1.71,-1.08,-1.86,0.05,18.38,19.09,9.58,-4.91,-4.91,-4.91,4.85,24.41,30.32,-4.81,-1.61,5.09,18.61,10.27,1.026351,65,-4.81,3.21,6.52,15.63,-10.57,1.010861,64
16-09-2025,NSE:ULTRACEMCO,EQ,372327.13,2.1,1.58,12578,,0.05,-1.21,2.08,9.50,16.36,5.73,8.67,-2.3,-2.3,-2.3,10.28,20.34,24.18,-0.87,7.84,3.07,5.25,9.36,1.025611,65,-0.87,8.91,-4.24,2.07,4.3,1.010852,64
16-09-2025,NSE:DEEPAKFERT,EQ,17509.19,2.12,2.75,1425.3,,0.88,-1.58,-1.58,-9.56,19.83,6.78,28.17,-18.25,-18.25,-18.25,2.7,30.35,53.65,-4.53,-11.22,6.54,6.3,28.86,1.024865,65,-4.53,-6.53,15.01,-1.52,24.12,1.029301,79
16-09-2025,NSE:IDFCFIRSTB,EQ,49947.7,174.42,1.82,71.55,,-2.77,2.88,3.89,1.96,23.65,10.09,0.04,-8.13,-8.13,-8.13,5.87,35.28,35.28,0.94,0.3,10.36,9.61,0.73,1.024801,65,0.94,-0.68,10.3,-2.99,-10,1.004952,56
16-09-2025,NSE:TAJGVK,EQ,2569.82,8.68,4.17,433.05,,-12.01,0.53,7.12,7.41,-17.47,12.80,24.78,-10.72,-15.86,-15.86,10.13,19.61,50.94,4.17,5.75,-30.76,12.32,25.47,1.024444,64,4.17,1.64,-38.69,40.54,14.91,1.031947,81
16-09-2025,NSE:ATULAUTO,EQ,1177.76,15.56,4.83,529.9,,4.77,18.31,19.65,14.27,20.39,-19.72,-25.70,-1.64,-1.64,-21.12,24.71,27.73,27.73,16.7,12.61,7.1,-20.2,-25.01,1.024352,64,16.7,-5.38,-4.68,-35.62,-3.82,0.994819,42
16-09-2025,NSE:MARICO,EQ,94227.83,19.02,1.99,723.9,,-1.19,-2.49,1.84,5.12,17.07,12.16,6.00,-3.72,-3.72,-3.72,4.96,19.4,23.16,-1.11,3.46,3.78,11.68,6.69,1.024307,64,-1.11,4.67,0.77,8.85,-5.83,1.007695,61
16-09-2025,NSE:ADANIPORTS,EQ,283626.24,18.04,1.84,1408.2,,1.94,5.11,7.66,1.13,19.88,11.66,-1.59,-3.33,-4.45,-4.45,8.3,26.79,33.73,4.71,-0.53,6.59,11.18,-0.9,1.024194,64,4.71,-5.75,7.14,4.52,-13.82,1.002902,53
16-09-2025,NSE:COFORGE,EQ,57731.64,14.29,2.6,1779.6,,4.66,1.40,7.73,-3.42,16.83,-3.35,23.12,-8.77,-8.77,-9.37,10.75,40.87,40.87,4.78,-5.08,3.54,-3.83,23.81,1.024077,64,4.78,-10.76,7.76,-9.49,26.79,1.025231,77
16-09-2025,NSE:IDEA,EQ,70422.97,8716.85,5.27,7.94,,8.44,18.01,22.54,16.88,10.96,1.01,-65.49,-2.46,-3.41,-41.27,29.11,29.11,29.11,19.59,15.22,-2.33,0.53,-64.8,1.024054,64,19.59,-5.99,-18.94,3.6,-66,0.981386,24
16-09-2025,NSE:MUNJALAU,EQ,868.3,7.69,5.26,90.89,,-5.36,2.41,16.91,17.31,24.61,-18.81,-43.86,-5.09,-5.09,-36.64,25.96,43.22,43.22,13.96,15.65,11.32,-19.29,-43.17,1.023769,64,13.96,1.81,-2.99,-42.83,-19.9,0.987745,32
16-09-2025,NSE:SHK,EQ,3420.38,8.77,4.19,248.07,,-1.04,-3.35,12.32,1.60,29.42,-11.10,-5.86,-7.47,-7.47,-24.21,15.79,45.2,52.27,9.37,-0.06,16.13,-11.58,-5.17,1.023496,64,9.37,-10.9,16.45,-42.63,5.9,1.00846,61
16-09-2025,NSE:NAVKARCORP,EQ,1762.58,4.64,3.9,128.57,,-0.94,7.60,7.77,13.83,30.51,-24.66,-13.07,-6.31,-6.31,-22.29,23.34,52.57,52.57,4.82,12.17,17.22,-25.14,-12.38,1.023367,64,4.82,7.9,7.54,-64.62,10.48,1.00752,60
16-09-2025,NSE:NLCINDIA,EQ,31199.32,20.95,3.18,262.21,,8.85,10.96,9.39,12.71,12.55,0.46,-1.81,-0.2,-0.2,-9.4,18.05,20.43,34.96,6.44,11.05,-0.74,-0.02,-1.12,1.023111,64,6.44,4.99,-12,0.95,-1.1,1.003484,54
16-09-2025,NSE:GREAVESCOT,EQ,4601.01,31.22,3.83,225.03,,3.97,-0.61,7.12,10.67,2.85,-7.55,22.34,-0.61,-1.97,-24.1,16.37,29.27,41.32,4.17,9.01,-10.44,-8.03,23.03,1.022857,64,4.17,5.15,-20.57,4.06,28.97,1.026107,77
16-09-2025,NSE:DPWIRES,EQ,345.66,3.29,8.87,275.74,,-0.72,20.61,24.84,17.26,19.65,-37.09,-43.76,-8.08,-8.08,-37.18,36.59,42.08,42.08,21.89,15.6,6.36,-37.57,-43.07,1.022622,64,21.89,-8.75,-8.93,-55.84,-3.69,0.991024,37
16-09-2025,NSE:KALAMANDIR,EQ,2671.64,8.48,5.02,163.81,,-7.11,-6.58,-0.02,19.33,21.42,-11.39,-3.88,-13.09,-13.09,-15.09,21.76,44.31,44.31,-2.97,17.67,8.13,-11.87,-3.19,1.022378,63,-2.97,20.67,-9.22,-26.99,7.93,1.010159,63
16-09-2025,NSE:GROWWEV,EQ,271.47,3.39,2.31,31.77,,0.76,3.53,8.78,8.88,18.22,1.76,-4.78,,,-10.68,10.81,29.99,29.99,5.83,7.22,4.93,1.28,-4.09,1.022207,63,5.83,1.43,-1.56,-5.36,-5.48,1.001058,51
16-09-2025,NSE:MPHASIS,EQ,52916.87,4.67,2.79,2950.7,,3.30,1.63,7.81,8.72,24.59,-8.12,-3.93,-0.6,-0.6,-7.71,12.41,40.36,40.36,4.86,7.06,11.3,-8.6,-3.24,1.022016,63,4.86,2.32,5.57,-28.61,5.06,1.005038,56
16-09-2025,NSE:PRECWIRE,EQ,3042.55,1.8,3.04,185.3,,2.91,6.30,6.34,3.70,27.88,-1.37,-6.09,-5.59,-5.59,-14.35,8.61,45.85,45.85,3.39,2.04,14.59,-1.85,-5.4,1.021971,63,3.39,-1.49,13.29,-25.79,-3.48,1.004023,55
