Date,Symbol,Series,Mkt Cap (₹ Crore),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHighP_1W,RSHighP_1M,RSHighP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
17-11-2025,NSE:BHARTIARTL,EQ,65000,2112.2,6715436,141843.43919,1.78,2.05,7.03,,0.55,4.37,2.73,3.92,6.8,11.59,14.12,20.62,25.67,44.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.76,1.23,3.03,3.49,6.75,6.16,13.76,0,0,0,0,0,0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0,-8.19,-4.58,-5.33,-11.36,13.1,16.77,38.49,80.72,7.36,6.39,18.93,25.18,51.05,41.43,4.39,6.34,9.6,10.98,20.21,1.059066,72,7.36,1.65,10.3,24.37,,,4.39,2.23,3.62,2.21,10.99,1.022751,69
17-11-2025,NSE:BAJFINANCE,EQ,45000,1026.8,7809196,80184.82453,2.03,2.23,3.64,S,0.81,-5.67,-1.56,-6.13,-3.22,16.24,10.72,17.47,32.84,38.41,-1,-1,-1,-1,-1,HV2Q,-1,-1,-1,-1,-1,-0.59,-0.52,-1.1,1.53,0.43,9.8,11.34,0,0,0,0,0,0,-6.16,-6.16,-6.16,-6.16,-6.16,-6.16,0,-11.18,-1.67,-0.41,-11.23,19.19,20.38,58.81,62.69,2.15,24.26,4.99,41.94,34.27,9.26,-5.63,10.99,6.2,7.83,27.38,1.056652,69,-3.65,14.99,3.78,38.72,,,-5.63,15.95,-5.83,2.2,23.24,1.035971,81
17-11-2025,NSE:CNXAUTO,IN,,27472.65,,,,,,,0.85,2.23,2.41,1.32,2.78,12.19,12.81,14.61,13.35,23.12,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.5,,,,,,,,,,,,,,,,,0.37,6.94,8.29,4.97,7.89,1.031615,,,,,,,,0.37,6.77,1.46,-3.3,3.15,1.010459,
17-11-2025,NSE:RELIANCE,EQ,200000,1518.3,10447336,158621.90249,1.46,1.58,5.65,,-0.04,1.91,2.1,4.39,9.48,8.94,4.08,16.57,15.45,1.19,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,1.22,1.52,2.79,3.66,6.7,3.55,10.62,0,0,0,0,0,0,-0.04,-0.04,-1.51,-1.51,-5.16,-0.04,-7.49,-10.31,-4.57,-20.88,-19.81,12.14,12.14,30.67,30.67,8.58,1.51,18.99,25.35,5.09,0,7.07,3.69,-0.44,6.93,9.99,1.031475,66,8.58,-7.49,10.29,-0.29,,,7.07,-3.51,-4.58,7.67,3.27,1.01212,60
17-11-2025,NSE:CNXMETAL,IN,,10495.85,,,,,,,0.01,0.11,-1.11,1.41,2.65,10.96,12.33,18.2,11.31,20.92,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-2.61,-2.61,-2.61,-2.61,-2.61,,,,,,,,,,,,,,,,,0.24,5.71,7.81,8.56,5.85,1.03142,,,,,,,,0.24,5.62,2.3,1.33,-3.8,1.009008,
17-11-2025,NSE:AXISBANK,EQ,45000,1249.6,6962375,87001.838,1.49,1.54,4.3,,0.64,2.61,1.34,0.62,6.4,14.69,3.27,18.05,7.09,11.91,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,1.41,0.81,2.24,3.73,6.2,4.2,10.86,0,0,0,0,0,0,-0.73,-0.73,-0.73,-0.73,-5.14,-0.73,-3.56,-13.58,-5.35,-22.26,-11.87,19.56,19.56,31.8,31.8,4.46,11.9,7.36,27.5,8.02,13.37,3.99,9.44,-1.25,8.41,1.63,1.029391,63,4.46,0.1,5.36,3.82,,,3.99,5.95,-12.64,9.92,-8.74,1.009422,54
17-11-2025,NSE:LT,EQ,45000,4027.7,1785543,71916.31541,1.54,1.59,7.81,,0.58,2.71,-0.08,3.05,4.94,8.29,10.5,17.15,9.12,10.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,1.49,1.14,2.67,3.62,6.52,6.29,13.68,0,0,0,0,0,0,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,0,0,-8.68,-15.46,-6.08,14.26,17.69,31.88,31.88,4.9,11.88,20.94,18.03,2,11.89,2.53,3.04,5.98,7.51,3.66,1.025192,60,4.3,9.27,10.97,0.92,,,2.53,0.62,3.17,2.07,-5.07,1.00577,49
17-11-2025,NSE:GODFRYPHLP,EQ,48603.92,2934.4,820881,24087.93206,2.9,2.84,4.1,3L,-0.77,-2.19,-4.88,-6.42,-13.51,-14.13,0.96,37.86,23.94,64.93,-1,-1,HVQ,EEP,EEP,EEP,-1,-1,-1,-1,-1,-2.63,-2.86,-5.34,-6.71,-11.29,16.18,5.84,0,0,0,0,0,0,-13.99,-20.97,-20.97,-20.97,-20.97,-13.99,-10.3,-7.44,-5,-33.57,-18.7,0,10.3,107.9,200.19,0,14.96,100.96,105.9,99.03,143.61,-15.92,-19.38,-3.56,28.22,18.48,1.019068,57,-11.52,7.22,80.02,96.16,,,-15.92,-3.46,13.98,31.89,-17.78,1.02798,72
17-11-2025,NSE:BANKNIFTY,IN,,58962.7,,,,,,,0.76,1.74,2.01,2.14,3.67,6.41,6.12,14.93,12.55,19.3,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,1.26,1.16,1.6,5.29,7.09,1.016865,,,,,,,,1.26,-0.06,0.45,4.03,1.82,1.007313,
17-11-2025,NSE:CNXINFRA,IN,,9651.1,,,,,,,0.33,2.38,0.88,2.63,4.39,6.48,6.19,14.53,9.76,13.48,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.11,-0.11,-0.11,-0.11,-0.39,,,,,,,,,,,,,,,,,1.98,1.23,1.67,4.89,4.3,1.014922,,,,,,,,1.98,-0.73,0.45,3.52,-0.96,1.004987,
17-11-2025,NSE:CNXFINANCE,IN,,27646.2,,,,,,,0.56,1.23,1.84,0.91,2.08,5.09,4.24,14.85,13.79,24.57,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,-0.33,-0.16,-0.28,5.21,8.33,1.012329,,,,,,,,-0.33,0.17,-0.14,5.73,3.37,1.007955,
17-11-2025,NSE:CNXMIDCAP,IN,,61180.5,,,,,,,0.73,1.73,2.21,3.19,3.61,7.35,6.73,12.38,7.89,19.72,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,1.2,2.1,2.21,2.74,2.43,1.01157,,,,,,,,1.2,0.97,0.09,0.69,-0.5,1.003302,
17-11-2025,NSE:CNXMNC,IN,,30350.5,,,,,,,0.59,0.47,0.48,0.59,1.53,6.39,7.23,10.84,3.55,16.99,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,0,-0.76,-0.76,-0.76,-7.36,,,,,,,,,,,,,,,,,-0.88,1.14,2.71,1.2,-1.91,1.002802,,,,,,,,-0.88,2.03,1.65,-1.46,-3.56,0.999302,
17-11-2025,NSE:HDFCBANK,EQ,120000,996.55,19495550,194282.90353,1.45,1.45,8.28,S,0.70,1.21,0.93,0.18,1.84,0.64,2.93,13.06,11.97,27.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6,0.13,0.73,1.1,1.86,2.99,5,0,0,0,0,0,0,-1.21,-1.21,-1.61,-1.61,-1.61,-1.21,-3.42,-2.25,-1.38,-7.43,-1.63,5.51,5.51,22.29,39.83,1.45,3.57,18.08,20.68,23.47,25.01,-0.57,-4.61,-1.59,3.42,6.51,1.001283,54,0.22,-1.99,15.42,16.54,,,-0.57,-4.13,3.06,5.08,3.37,1.004329,46
17-11-2025,NSE:NIFTY,IN,,26013.45,,,,,,,0.40,1.69,1.12,0.84,2.65,5.36,3.82,9.43,7.17,14.06,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,-0.16,-0.16,-0.16,-0.16,-0.77,,,,,,,,,,,,,,,,,0.24,0.11,-0.7,-0.21,1.71,1.001018,,,,,,,,0.24,-0.13,-0.87,0.47,2.12,1.001358,
17-11-2025,NSE:KCK,SM,260.77,29.75,295350,87.86663,5.29,5.79,6.16,2L,1.54,9.75,-5.71,-22.69,-26.55,-42.52,-28.74,63.23,-108.37,82.18,-1,-1,HVY,HVQ,-1,HV2Q,-1,-1,-1,-1,-1,1.97,-6.97,-4.68,-13.69,-16.16,16.2,0.05,0,0,0,0,0,0,-18.49,-39.66,-39.66,-53.52,-53.52,-18.49,-23.63,-11.57,-40.16,-82.91,-0.35,16.67,16.67,329.29,507.14,16.67,21.84,511.83,452.67,123.27,1165.1,-28.96,-47.77,-33.26,53.59,-113.83,1.000551,51,-16.9,-15.68,280.27,-5.32,,,-28.96,-15.53,10.43,66.08,-462.02,1.117477,93
17-11-2025,NSE:NIFTYMIDSML400,IN,,20553.2,,,,,,,0.68,1.39,1.03,1.67,2.29,5.06,6.02,10.09,3.68,17.32,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,0,0,-0.29,-0.85,-2.74,,,,,,,,,,,,,,,,,-0.12,-0.19,1.5,0.45,-1.78,1.000049,,,,,,,,-0.12,-0.07,1.77,-1.03,-2.5,0.998644,
17-11-2025,NSE:CNX500,IN,,23954.55,,,,,,,0.50,1.49,1.02,1.12,2.41,5.25,4.52,9.64,5.46,14.91,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,0,0,0,0,-2.21,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,1,
